,Title,Distributor,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Estimated,Rated,Genre,Language,Awards,DVD,BoxOffice,Director,Writer,Actors,Runtime,Plot,IMDB_ID,IMDB_Rating,IMDB_Votes,IMDB_Metascore
28,Blade Runner 2049,Warner Bros.,"$92,054,159",4058,"$32,753,122",35.6%,4058,Oct 6,Feb 1,False,R,"Action, Drama, Mystery, Sci-Fi, Thriller","English, Finnish, Japanese, Hungarian, Russian, Somali, Spanish",Won 2 Oscars. Another 81 wins & 131 nominations.,16 Jan 2018,"$91,800,042",Denis Villeneuve,"Hampton Fancher (screenplay by), Michael Green (screenplay by), Hampton Fancher (story by), Philip K. Dick (based on characters from the novel ""Do Androids Dream of Electric Sheep?"" by)","Ryan Gosling, Dave Bautista, Robin Wright, Mark Arnold",164 min,"A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years.",tt1856101,8.0,"398,240",81
29,The Mummy,Universal Pictures,"$80,101,125",4035,"$31,688,375",39.6%,4035,Jun 9,Aug 24,False,PG-13,"Action, Adventure, Fantasy","English, Egyptian (Ancient), Arabic, Chinese, Hebrew, Hungarian",Nominated for 1 Oscar. Another 5 wins & 19 nominations.,28 Sep 1999,N/A,Stephen Sommers,"Stephen Sommers (screen story), Lloyd Fonvielle (screen story), Kevin Jarre (screen story), Stephen Sommers (screenplay)","Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",124 min,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreck havoc as he searches for the reincarnation of his long-lost love.",tt0120616,7.0,"372,216",48
30,Girls Trip,Universal Pictures,"$115,108,515",2648,"$31,201,920",27.1%,2591,Jul 21,Oct 19,False,R,"Adventure, Comedy, Drama",English,10 wins & 32 nominations.,17 Oct 2017,"$115,088,305",Malcolm D. Lee,"Erica Rivinoja (story by), Kenya Barris (story by), Tracy Oliver (story by), Kenya Barris (screenplay by), Tracy Oliver (screenplay by)","Regina Hall, Queen Latifah, Jada Pinkett Smith, Tiffany Haddish",122 min,"When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling, and romancing to make the Big Easy blush.",tt3564472,6.2,"30,666",71
33,Daddy's Home 2,Paramount Pictures,"$104,029,443",3575,"$29,651,193",28.5%,3575,Nov 10,Feb 15,False,PG-13,Comedy,"English, Spanish",1 win & 3 nominations.,20 Feb 2018,"$102,934,995",Sean Anders,"Sean Anders, John Morris, Brian Burns (based on characters created by)","Will Ferrell, Mark Wahlberg, Mel Gibson, John Lithgow",100 min,"Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays.",tt5657846,6.0,"51,451",30
34,Murder on the Orient Express,Twentieth Century Fox,"$102,800,191",3354,"$28,681,472",27.9%,3341,Nov 10,Mar 1,False,PG-13,"Crime, Drama, Mystery","English, French, German, Arabic",18 nominations.,27 Feb 2018,"$101,555,644",Kenneth Branagh,"Michael Green (screenplay by), Agatha Christie (based upon the novel by)","Paapa Essiedu, Yassine Zeroual, Asan N'Jie, Michael Rouse",114 min,"When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.",tt3402236,6.5,"185,646",52
35,Wonder,Lionsgate,"$132,422,809",3519,"$27,547,866",20.8%,3096,Nov 17,Mar 22,False,PG,"Drama, Family",English,Nominated for 1 Oscar. Another 2 wins & 21 nominations.,13 Feb 2018,"$132,090,170",Stephen Chbosky,"Stephen Chbosky (screenplay by), Steve Conrad (screenplay by), Jack Thorne (screenplay by), R.J. Palacio (based on the novel by)","Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts",113 min,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",tt2543472,8.0,"117,870",66
36,All Eyez on Me,Lionsgate,"$44,922,302",2471,"$26,435,354",58.8%,2471,Jun 16,Aug 3,False,R,"Biography, Drama, Music",English,1 nomination.,05 Sep 2017,"$44,892,121",Benny Boom,"Jeremy Haft, Eddie Gonzalez, Steven Bagatourian","Demetrius Shipp Jr., Danai Gurira, Kat Graham, Hill Harper",139 min,"Tells the true and untold story of prolific rapper, actor, poet and activist Tupac Shakur.",tt1666185,5.8,"19,158",38
37,Happy Death Day,Universal Pictures,"$55,683,845",3535,"$26,039,025",46.8%,3149,Oct 13,Dec 14,False,PG-13,"Horror, Mystery, Thriller",English,1 nomination.,16 Jan 2018,"$55,398,005",Christopher Landon,Scott Lobdell,"Jessica Rothe, Israel Broussard, Ruby Modine, Charles Aitken",96 min,"A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity.",tt5308322,6.5,"97,109",58
38,The Emoji Movie,Sony Pictures Releasing,"$86,089,513",4075,"$24,531,923",28.5%,4075,Jul 28,Nov 30,False,PG,"Animation, Adventure, Comedy, Family, Fantasy","English, Spanish",5 wins & 3 nominations.,24 Oct 2017,"$86,053,485",Tony Leondis,"Tony Leondis (screenplay by), Eric Siegel (screenplay by), Mike White (screenplay by), Tony Leondis (story by), Eric Siegel (story by), John Hoffman (additional screenplay material)","T.J. Miller, James Corden, Anna Faris, Maya Rudolph",86 min,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",tt4877122,3.2,"50,350",12
39,Captain Underpants: The First Epic Movie,Twentieth Century Fox,"$73,921,000",3529,"$23,851,539",32.3%,3434,Jun 2,Nov 2,False,PG,"Animation, Action, Comedy, Family",English,1 win & 10 nominations.,12 Sep 2017,"$73,895,861",David Soren,"Nicholas Stoller (screenplay by), Dav Pilkey (based on the epic novels by), David Soren (additional screenplay material by)","Kevin Hart, Ed Helms, Nick Kroll, Thomas Middleditch",89 min,"Two overly imaginative pranksters named George and Harold hypnotize their principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted superhero named Captain Underpants.",tt2091256,6.2,"22,859",69
40,The Hitman's Bodyguard,Lionsgate,"$75,468,583",3377,"$21,384,504",28.3%,3377,Aug 18,Nov 2,False,R,"Action, Comedy, Thriller","English, Russian, French, Japanese, Italian, Dutch, Spanish",N/A,21 Nov 2017,"$75,020,039",Patrick Hughes,Tom O'Connor,"Elodie Yung, Ryan Reynolds, Tsuwayuki Saotome, Roy Hill",118 min,"The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.",tt1959563,6.9,"168,291",47
41,Boo 2! A Madea Halloween,Lionsgate,"$47,319,572",2388,"$21,226,953",44.9%,2388,Oct 20,Dec 14,False,PG-13,"Comedy, Drama, Horror",English,1 win & 2 nominations.,30 Jan 2018,"$46,649,659",Tyler Perry,"Tyler Perry, Brian Schulman (Screenplay)","Tyler Perry, Cassi Davis, Patrice Lovely, Yousef Erakat",101 min,"Madea, Bam, and Hattie venture to a haunted campground and the group must run for their lives when monsters, goblins, and the boogeyman are unleashed.",tt6217804,3.7,"3,646",17
42,Baby Driver,-,"$107,825,862",3226,"$20,553,320",19.1%,3226,Jun 28,Oct 19,False,R,"Action, Crime, Drama, Music, Thriller","English, American Sign Language",Nominated for 3 Oscars. Another 31 wins & 44 nominations.,10 Oct 2017,"$107,770,367",Edgar Wright,Edgar Wright,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González",113 min,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",tt3890160,7.6,"385,689",86
43,The Lego Ninjago Movie,Warner Bros.,"$59,281,555",4047,"$20,433,071",34.5%,4047,Sep 22,Nov 30,False,PG,"Animation, Action, Adventure, Comedy, Family",English,4 nominations.,19 Dec 2017,"$58,938,889","Charlie Bean, Paul Fisher, Bob Logan","Bob Logan (screenplay by), Paul Fisher (screenplay by), William Wheeler (screenplay by), Tom Wheeler (screenplay by), Jared Stern (screenplay by), John Whittington (screenplay by), Hilary Winston (story by), Bob Logan (story by), Paul Fisher (story by), William Wheeler (story by), Tom Wheeler (story by), Dan Hageman (story by), Kevin Hageman (story by)","Jackie Chan, Dave Franco, Fred Armisen, Kumail Nanjiani",101 min,"Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.",tt3014284,6.0,"20,016",55
