,imdb_id,imdb_metascore,title
5186,tt0160905,n/a,Spooky House
5377,tt0285869,n/a,Trois 2: Pandora's Box
6543,tt0271211,69.0,Stoked: The Rise And Fall Of Gator
7016,tt0360139,46.0,Chasing Liberty
7017,tt0332712,23.0,My Baby's Daddy
7020,tt0343135,44.0,Along Came Polly
7021,tt0350194,74.0,Teacher's Pet
7022,tt0329691,41.0,Torque
7101,tt0289879,30.0,The Butterfly Effect
7102,tt0335559,52.0,Win a Date with Tad Hamilton!
7104,tt0315824,42.0,The Big Bounce
7105,tt0314498,35.0,The Perfect Score
7106,tt0365957,37.0,You Got Served
7108,tt0337579,59.0,Barbershop 2:  Back in Business
7109,tt0337917,33.0,Catch That Kid
7110,tt0349825,68.0,Miracle
7140,tt0343660,48.0,50 First Dates
7141,tt0361925,33.0,Welcome to Mooseport
7162,tt0312329,36.0,Against the Ropes
7163,tt0361467,33.0,Confessions of a Teenage Drama Queen
7164,tt0356150,45.0,EuroTrip
7165,tt0335345,47.0,The Passion of the Christ
7166,tt0331953,45.0,Club Dread
7167,tt0338096,39.0,Dirty Dancing: Havana Nights
7168,tt0315297,26.0,Twisted
7171,tt0317648,54.0,Hidalgo
7172,tt0335438,55.0,Starsky & Hutch
7192,tt0358349,32.0,Agent Cody Banks 2: Destination London
7193,tt0265208,47.0,The Girl Next Door
7194,tt0363988,46.0,Secret Window
7195,tt0360009,60.0,Spartan
7197,tt0371683,32.0,Games People Play
7207,tt0363547,59.0,Dawn of the Dead
7208,tt0338013,89.0,Eternal Sunshine of the Spotless Mind
7209,tt0364045,38.0,Taking Lives
7213,tt0300051,43.0,Jersey Girl
7214,tt0335245,56.0,The Ladykillers
7215,tt0354766,38.0,Never Die Alone
7216,tt0331632,34.0,Scooby-Doo 2: Monsters Unleashed
7220,tt0167190,72.0,Hellboy
7221,tt0299172,50.0,Home on the Range
7222,tt0337697,47.0,The Prince & Me
7223,tt0351977,44.0,Walking Tall
7225,tt0359517,29.0,Johnson Family Vacation
7226,tt0318974,47.0,The Alamo
7227,tt0327679,53.0,Ella Enchanted
7228,tt0327247,24.0,The Whole Ten Yards
7270,tt0345074,44.0,Connie and Carla
7271,tt0378194,83.0,Kill Bill: Vol. 2
7272,tt0330793,33.0,The Punisher
7273,tt0380615,64.0,Paper Clips
7277,tt0337563,57.0,13 Going on 30
7278,tt0328107,47.0,Man on Fire
7279,tt0398872,49.0,Clifford's Really Big Movie
7281,tt0326856,31.0,Envy
7282,tt0335121,24.0,Godsend
7283,tt0323033,38.0,Laws of Attraction
7284,tt0377092,66.0,Mean Girls
7285,tt0277895,n/a,Mickey
7286,tt0363282,33.0,New York Minute
7287,tt0338526,35.0,Van Helsing
7290,tt0349169,46.0,Breakin' All the Rules
7291,tt0332452,56.0,Troy
7717,tt0298148,75.0,Shrek 2
7718,tt0319262,47.0,The Day After Tomorrow
7719,tt0350028,38.0,Raising Helen
7720,tt0367085,33.0,Soul Plane
7721,tt0367790,75.0,Baadasssss!
7723,tt0332375,62.0,Saved!
7725,tt0304141,82.0,Harry Potter and the Prisoner of Azkaban
7726,tt0297284,33.0,Mindhunters
7728,tt0296572,38.0,The Chronicles of Riddick
7729,tt0356634,27.0,Garfield
7730,tt0327162,42.0,The Stepford Wives
7732,tt0391225,53.0,The Hunting of the President
7733,tt0374900,64.0,Napoleon Dynamite
7788,tt0390521,73.0,Super Size Me
7827,tt0327437,49.0,Around the World in 80 Days
7829,tt0364725,55.0,DodgeBall: A True Underdog Story
7830,tt0362227,55.0,The Terminal
7831,tt0377752,63.0,Dear Frankie
7832,tt0381707,41.0,White Chicks
7833,tt0348593,67.0,The Door in the Floor
7834,tt0332280,53.0,The Notebook
7835,tt0338512,63.0,Two Brothers
7836,tt0352277,53.0,De-Lovely
7895,tt0361596,67.0,Fahrenheit 9/11
7909,tt0316654,83.0,Spider-Man 2
7910,tt0381006,55.0,America's Heart and Soul
