,imdb_id,imdb_metascore,title
26560,tt1790809,39.0,Pirates of the Caribbean: Dead Men Tell No Tales
26561,tt0974015,45.0,Justice League
26565,tt3501632,74.0,Thor: Ragnarok
26566,tt3896198,67.0,Guardians of the Galaxy Vol. 2
30536,tt2328678,n/a,The King's Daughter
30994,tt3033080,n/a,Extinction: Nature Has Evolved
31994,tt4157510,56.0,For Here or to Go?
32531,tt4600952,n/a,Guardians
32732,tt2597760,47.0,The Outcasts
33356,tt0451279,76.0,Wonder Woman
33358,tt3498786,n/a,Sly Cooper
33361,tt4287320,43.0,The Circle
33370,tt4765284,40.0,Pitch Perfect 3
33753,,n/a,The Master
35694,tt4935372,72.0,The Devil's Candy
36990,tt5305262,n/a,Las Plantas
37619,tt3039472,n/a,"Return to Return to Nuke 'Em High, aka Volume 2"
38043,tt4896904,n/a,The Cheerleader Murders
38113,tt3914332,58.0,Dean
38608,tt2620590,40.0,Leatherface
39694,tt2932536,52.0,47 Meters Down
39922,tt4446472,48.0,Porto
40390,tt4818168,n/a,Mamaboy
40396,tt1691152,75.0,David Lynch: The Art Life
40506,tt4776998,49.0,The Promise
40721,tt1666185,38.0,All Eyez on Me
40843,tt4680182,70.0,Colossal
40880,tt1945228,68.0,Voyage of Time: Life's Journey
40941,tt1724597,46.0,London Town
40947,tt1895315,45.0,Brimstone
40963,tt4211312,n/a,The White King
41237,tt4964772,72.0,Risk
41238,tt5278598,73.0,Kiki
41301,tt3014078,n/a,Shangri-La Suite
41341,tt5451054,n/a,Godless
41488,tt3922818,33.0,The Space Between Us
41496,tt5525310,75.0,National Bird
41702,tt5804038,95.0,I Am Not Your Negro
41772,tt4420704,78.0,Kedi
41814,tt1753383,43.0,A Dog's Purpose
41833,tt4511200,72.0,Manifesto
41898,tt5666304,69.0,The Little Hours
41926,tt3401882,37.0,Fist Fight
41928,tt2072233,34.0,Sleepless
41929,tt4731136,47.0,A Cure for Wellness
41964,tt1740683,n/a,The Man
41972,tt1293847,42.0,xXx: Return of Xander Cage
41973,tt4030600,37.0,The Bye Bye Man
41975,tt5154288,71.0,Prevenge
41976,tt4116284,75.0,The Lego Batman Movie
42007,tt5771640,n/a,A Wedding
42018,tt4217392,50.0,Kung Fu Yoga
42019,tt4909752,n/a,Rangoon
42020,tt5493706,n/a,Death Race 2050
42027,tt3305308,50.0,Trespass Against Us
42030,tt5432114,56.0,Claire in Motion
42056,tt5740806,n/a,Coin Heist
42096,tt0498381,25.0,Rings
42123,tt5577742,n/a,Clinical
42143,tt6090102,n/a,Jim Gaffigan: Cinco
42149,tt5968964,n/a,Eu Fico Loko
42153,tt3297382,28.0,The Crash
42155,tt5084198,n/a,Kizumonogatari Part 3: Reiketsu
42168,tt4425200,75.0,John Wick: Chapter 2
42169,tt5052448,84.0,Get Out
42170,tt3315342,77.0,Logan
42171,tt3731562,62.0,Kong: Skull Island
42174,tt1966385,55.0,City of Tiny Lights
42175,tt2763304,67.0,T2 Trainspotting
42181,tt4536768,55.0,Science Fiction Volume One: The Osiris Child
42185,tt1691916,58.0,Before I Fall
42205,tt5462602,86.0,The Big Sick
42206,tt5962210,71.0,Ingrid Goes West
42207,tt5710514,75.0,I Don't Feel at Home in This World Anymore
42214,tt1972591,41.0,King Arthur: Legend of the Sword
42222,tt2771200,65.0,Beauty and the Beast
42223,tt5792472,n/a,Take the 10
42235,tt3874544,50.0,The Boss Baby
42236,tt2494376,n/a,Justice League Dark
42256,tt5221894,n/a,The other me
42264,tt5690244,76.0,Machines
42269,tt5726616,93.0,Call Me by Your Name
42293,tt3171832,50.0,iBoy
42294,tt6137734,n/a,L'ora legale
42306,tt5294198,66.0,Catfight
42308,tt6265828,84.0,A Ghost Story
42309,tt1219827,52.0,Ghost in the Shell
42316,tt4834220,n/a,Pork Pie
42319,tt6184894,n/a,Bill Burr: Walk Your Way Out
42327,tt3322892,64.0,XX
42330,tt5764024,n/a,Ok Jaanu
42355,tt4465564,33.0,Fifty Shades Darker
42356,tt1781058,49.0,Wilson
42360,tt4731148,n/a,Attraction
42361,tt5286268,n/a,Family Heist
42367,tt3622110,45.0,Don't Knock Twice
42368,tt3893280,52.0,The Ticket
42381,tt4680980,46.0,Lavender
42382,tt4372390,46.0,Detour
42384,tt1330018,27.0,The Book of Love
42396,tt5222918,84.0,The Other Side of Hope
42397,tt6408738,n/a,Trumped: Inside the Greatest Political Upset of All Time
42405,tt2122355,n/a,Hickey
42408,tt6273862,n/a,The Man Who Was Too Free
42409,tt4746516,n/a,Orphan
42411,tt5614612,n/a,Black Snow
42414,tt6438918,n/a,Neal Brennan: 3 Mics
42422,tt6343706,n/a,"Michael Bolton's Big, Sexy Valentine's Day Special"
42433,tt3809276,28.0,Lost in Florence
42436,tt3349578,22.0,Bad Kids of Crestview Academy
42474,tt5897288,n/a,Smetto quando voglio: Masterclass
42479,tt4627352,n/a,Shepherds and Butchers
42485,tt4411618,43.0,In Dubious Battle
42488,tt3335606,70.0,Berlin Syndrome
42489,tt4524678,n/a,The Citizen
42505,tt5590718,73.0,All This Panic
42518,tt3687316,38.0,Youth in Oregon
42536,tt2062700,54.0,Song to Song
42537,tt5541240,64.0,To the Bone
42538,tt2962984,n/a,Girlfriend's Day
42540,tt6451304,77.0,Have a Nice Day
42544,tt4671002,55.0,American Fable
42548,tt6540084,n/a,Katherine Ryan: In Trouble
42556,tt4299300,n/a,My Blind Date with Life
42559,tt3521306,n/a,A Good Wife
42562,tt5328350,61.0,Spoor
42563,tt5635086,85.0,God's Own Country
42564,tt5639354,86.0,A Fantastic Woman
42565,tt5446444,n/a,Colo
42574,tt6125690,63.0,"Ana, My Love"
42575,tt5207262,n/a,Hostages
42581,tt4305148,74.0,Lovesong
42585,tt6386352,n/a,Jen Kirkman: Just Keep Livin'
