,imdb_id,imdb_metascore,title
2654,tt0138946,58.0,The Yards
3060,tt0195945,41.0,Next Friday
3071,tt0208261,75.0,The Life and Times of Hank Greenberg
3072,tt0156812,61.0,My Dog Skip
3073,tt0134983,19.0,Supernova
3107,tt0186975,13.0,Down to You
3108,tt0197544,n/a,Hellhounds on My Trail: The Afterlife of Robert Johnson
3110,tt0153866,15.0,Wirey Spindell
3121,tt0141399,34.0,Isn't She Great
3155,tt0134084,56.0,Scream 3
3158,tt0171356,42.0,Gun Shy
3161,tt0143344,25.0,Knockout
3167,tt0163978,43.0,The Beach
3168,tt0184907,34.0,Snow Day
3169,tt0220099,53.0,The Tigger Movie
3173,tt0217107,n/a,Trois
3180,tt0181984,63.0,Boiler Room
3181,tt0162983,33.0,Hanging Up
3182,tt0134847,49.0,Pitch Black
3183,tt0190138,47.0,The Whole Nine Yards
3185,tt0221023,n/a,Black Tar Heroin: The Dark End of the Street
3198,tt0184858,37.0,Reindeer Games
3199,tt0185014,73.0,Wonder Boys
3200,tt0158583,50.0,Deterrence
3204,tt0199290,11.0,3 Strikes
3205,tt0194368,n/a,Chain of Fools
3206,tt0186045,25.0,Drowning Mona
3207,tt0156841,25.0,The Next Best Thing
3208,tt0181151,41.0,What Planet Are You From?
3235,tt0218112,44.0,The Closer You Get
3236,tt0183523,34.0,Mission to Mars
3238,tt0154352,48.0,Condo Painting
3289,tt0195685,73.0,Erin Brockovich
3290,tt0195714,36.0,Final Destination
3332,tt0165929,52.0,Romeo Must Die
3333,tt0195778,25.0,Here On Earth
3334,tt0202402,20.0,Whatever It Takes
3337,tt0127349,59.0,Waking the Dead
3361,tt0146882,79.0,High Fidelity
3362,tt0138749,51.0,The Road to El Dorado
3363,tt0192614,24.0,The Skulls
3389,tt0186151,67.0,Frequency
3390,tt0217756,23.0,Ready to Rumble
3391,tt0122459,54.0,Return to Me
3392,tt0160797,45.0,Rules of Engagement
3393,tt0172632,74.0,Joe Gould's Secret
3394,tt0183503,46.0,Me Myself I
3412,tt0191754,46.0,28 Days
3413,tt0144084,64.0,American Psycho
3414,tt0171433,60.0,Keeping the Faith
3415,tt0149367,49.0,Where the Money is
3417,tt0236216,82.0,The Filth and the Fury
3418,tt0160644,28.0,Passion of Mind
3431,tt0176783,31.0,Gossip
3432,tt0199725,70.0,Love & Basketball
3433,tt0141926,62.0,U-571
3440,tt0144142,44.0,Committed
3441,tt0132910,n/a,The Crow: Salvation
3442,tt0158622,27.0,The Flintstones in Viva Rock Vegas
3443,tt0198021,30.0,Where the Heart Is
3444,tt0189584,56.0,The Big Kahuna
3445,tt0180837,57.0,Bossa Nova
3448,tt0180793,69.0,The Last September
3449,tt0220100,65.0,Timecode
3456,tt0172495,67.0,Gladiator
3457,tt0167203,33.0,I Dreamed of Africa
3458,tt0153464,57.0,Up at the Villa
3471,tt0185183,9.0,Battlefield Earth
3472,tt0210616,52.0,Center Stage
3474,tt0156323,7.0,Screwed
3475,tt0174336,10.0,Whipped
3476,tt0171359,70.0,Hamlet
3493,tt0130623,56.0,Dinosaur
3494,tt0217630,35.0,Loser
3495,tt0215129,55.0,Road Trip
3496,tt0196216,69.0,Small Time Crooks
3501,tt0120755,59.0,Mission: Impossible II
3502,tt0184894,77.0,Shanghai Noon
3524,tt0208003,33.0,Big Momma's House
3595,tt0187078,35.0,Gone in Sixty Seconds
3597,tt0182295,35.0,Love's Labour's Lost
3599,tt0162711,26.0,Trixie
3600,tt0143422,30.0,American Virgin
3621,tt0204175,29.0,Boys and Girls
3622,tt0162650,50.0,Shaft
3623,tt0120913,48.0,Titan A.E.
3629,tt0120630,88.0,Chicken Run
