,imdb_id,imdb_metascore,title
1081,tt2250194,n/a,The Sleepover
4356,tt2018086,65.0,Camille Claudel 1915
11251,tt2449612,n/a,The Scar
14765,tt1472122,n/a,Dante's Hell Animated
18082,tt2806964,n/a,Pompeii: The Mystery of the People Frozen in Time
18238,tt1308729,48.0,Bullet to the Head
19154,tt1830495,n/a,Bela Kiss: Prologue
19925,tt1821641,63.0,The Congress
20022,tt1588173,60.0,Warm Bodies
20203,tt1572315,n/a,Texas Chainsaw 3D
20204,tt1329177,21.0,K-11
20206,tt1321870,40.0,Gangster Squad
20223,tt2243537,20.0,A Haunted House
20232,tt2166834,n/a,"Batman: The Dark Knight Returns, Part 2"
20261,tt1549920,54.0,The Last Stand
20262,tt2023587,57.0,Mama
20264,tt2084989,81.0,Upstream Color
20273,tt1235522,49.0,Broken City
20283,tt1995341,57.0,It's a Disaster
20314,tt1333125,18.0,Movie 43
20318,tt1988591,n/a,Death Race: Inferno
20324,tt1904996,42.0,Parker
20328,tt1827578,56.0,The End of Love
20335,tt1428538,23.0,Hansel & Gretel: Witch Hunters
20360,tt1869716,68.0,The East
20391,tt1907707,52.0,LUV
20392,tt1389096,41.0,Stand Up Guys
20401,tt1975158,n/a,Finding Joy
20403,tt1457765,26.0,The Haunting in Connecticut 2: Ghosts of Georgia
20410,tt2053463,75.0,Side Effects
20412,tt2344672,n/a,Kadal
20413,tt2024432,35.0,Identity Thief
20416,tt1935896,43.0,The ABCs of Death
20417,tt2281065,n/a,21 Ways to Ruin a Marriage
20430,tt2577150,n/a,Traffic Department
20440,tt1815998,59.0,The Playroom
20442,tt1559547,52.0,Beautiful Creatures
20447,tt1606378,28.0,A Good Day to Die Hard
20450,tt1711425,34.0,21 & Over
20457,tt1702439,34.0,Safe Haven
20478,tt0765446,35.0,Escape from Planet Earth
20479,tt2034098,21.0,Saving Lincoln
20488,tt2209418,94.0,Before Midnight
20498,tt0882977,51.0,Snitch
20502,tt2608732,n/a,The Pirate Bay: Away From Keyboard
20503,tt2655938,n/a,The Eternal Return of Antonis Paraskevas
20505,tt2387433,50.0,Dark Skies
20512,tt2017561,68.0,Journey to the West: Conquering the Demons
20527,tt1351685,51.0,Jack the Giant Slayer
20529,tt2034139,35.0,The Last Exorcism Part II
20536,tt1583421,41.0,G.I. Joe: Retaliation
20539,tt1682180,58.0,Stoker
20540,tt1922685,40.0,Phantom
20543,tt2306745,76.0,Sound City
20544,tt1623205,44.0,Oz: The Great and Powerful
20549,tt2101341,39.0,Dead Man Down
20550,tt0481499,55.0,The Croods
20596,tt2244901,50.0,I Give It a Year
20597,tt0790628,44.0,The Incredible Burt Wonderstone
20598,tt2101441,63.0,Spring Breakers
20603,tt2243389,55.0,I'm So Excited!
20612,tt1981690,71.0,Stolen Seas
20619,tt1911644,51.0,The Call
20620,tt2302755,41.0,Olympus Has Fallen
20623,tt1754811,1.0,InAPPropriate Comedy
20637,tt2085957,n/a,Kill for Me
20663,tt1817273,68.0,The Place Beyond the Pines
20666,tt1745862,n/a,Phil Spector
20670,tt1517260,35.0,The Host
20681,tt1814621,48.0,Admission
20703,tt2027064,76.0,Blue Caprice
20720,tt1288558,57.0,Evil Dead
20721,tt1924429,61.0,Trance
20724,tt2261389,n/a,Chasing Beauty
20726,tt1684233,49.0,Welcome to the Punch
20749,tt2131674,n/a,50 Children: The Rescue Mission of Mr. and Mrs. Kraus
20750,tt1483013,54.0,Oblivion
20754,tt1697064,n/a,Siberian Education
20758,tt1595656,58.0,To the Wonder
20759,tt0453562,62.0,42
20785,tt2782834,n/a,iSteve
20791,tt0795461,11.0,Scary Movie 5
20799,tt1980209,45.0,Pain & Gain
