,imdb_id,imdb_metascore,title
11472,tt0463998,64.0,Freedom Writers
11497,tt0462229,33.0,Code Name: The Cleaner
11498,tt0775539,44.0,Stomp the Yard
11519,tt0772193,35.0,Primeval
11521,tt0455960,28.0,The Hitcher
11537,tt0398808,74.0,Bridge to Terabithia
11547,tt0473308,75.0,Waitress
11556,tt0397044,33.0,Blood and Chocolate
11557,tt0799949,17.0,Epic Movie
11558,tt0425430,34.0,The Messengers
11559,tt0490084,26.0,Because I Said So
11560,tt0367959,35.0,Hannibal Rising
11561,tt0477051,27.0,Norbit
11567,tt0382932,96.0,Ratatouille
11592,tt0259324,35.0,Ghost Rider
11593,tt0401997,74.0,Breach
11594,tt0778661,49.0,Daddy's Little Girls
11595,tt0758766,59.0,Music and Lyrics
11596,tt0481369,n/a,The Number 23
11597,tt0499554,47.0,Reno 911!: Miami
11617,tt0425112,81.0,Hot Fuzz
11634,tt0435705,42.0,Next
11637,tt0301555,72.0,God Grew Tired of Us
11646,tt0443706,78.0,Zodiac
11650,tt0496436,n/a,White Noise 2: The Light
11652,tt0486946,27.0,Wild Hogs
11668,tt0768212,59.0,The Last Mimzy
11676,tt0416508,55.0,Becoming Jane
11683,tt0770772,49.0,I Think I Love My Wife
11688,tt0477071,29.0,Premonition
11689,tt0455760,34.0,Dead Silence
11690,tt0490204,61.0,Reign Over Me
11691,tt0475355,55.0,Pride
11692,tt0822854,53.0,Shooter
11693,tt0800069,32.0,The Hills Have Eyes 2
11694,tt0453556,41.0,TMNT
11713,tt0459605,69.0,Eklavya: The Royal Guard
11720,tt0427470,73.0,The Lookout
11721,tt0445934,64.0,Blades of Glory
11724,tt0422774,36.0,Are We Done Yet?
11725,tt0444682,36.0,The Reaping
11726,tt0476995,43.0,Firehouse Dog
11727,tt0396555,61.0,Meet the Robinsons
11732,tt0448134,64.0,Sunshine
11745,tt0457433,31.0,Perfect Stranger
11746,tt0486822,62.0,Disturbia
11747,tt0446013,29.0,Pathfinder
11748,tt0455326,54.0,Aqua Teen Hunger Force Colon Movie Film for Theaters
11754,tt0780595,24.0,Redline
11758,tt0450188,66.0,La Vie en Rose
11763,tt0488120,68.0,Fracture
11768,tt0452702,54.0,Vacancy
11771,tt0419843,47.0,In the Land of Women
11774,tt0453451,56.0,Mr. Bean's Holiday
11777,tt0435670,36.0,The Invisible
11778,tt0772178,18.0,Kickin' It Old Skool
11779,tt0443473,23.0,The Condemned
11780,tt0413300,59.0,Spider-Man 3
11781,tt0338216,49.0,Lucky You
11793,tt0756729,70.0,Year of the Dog
11811,tt0478311,85.0,Knocked Up
11812,tt0427327,81.0,Hairspray
11815,tt0463854,78.0,28 Weeks Later
11816,tt0791304,25.0,Georgia Rule
11817,tt0800003,17.0,Delta Farce
11825,tt0413267,58.0,Shrek the Third
11826,tt0907657,88.0,Once
11827,tt0449088,50.0,Pirates of the Caribbean: At World's End
11829,tt0780571,45.0,Mr. Brooks
11830,tt0389328,n/a,Rise: Blood Hunter
11831,tt0441007,52.0,Gracie
11836,tt0874423,63.0,Zoo
11839,tt0494222,55.0,Eagle vs Shark
11840,tt0411061,17.0,88 Minutes
11845,tt0496806,62.0,Ocean's Thirteen
11858,tt0498353,46.0,Hostel: Part II
11860,tt0842929,83.0,Paranoid Park
11863,tt0423294,64.0,Surf's Up
11864,tt0486576,45.0,Fantastic 4: Rise of the Silver Surfer
11865,tt0479500,53.0,Nancy Drew
11869,tt1028528,n/a,Death Proof
11886,tt0989000,64.0,In Search of a Midnight Kiss
11905,tt0473360,n/a,Goal! II: Living the Dream
11909,tt0446055,n/a,The Trials Of Darryl Hunt
11911,tt0386032,74.0,Sicko
11916,tt0829459,74.0,A Mighty Heart
11917,tt0450385,64.0,1408
11918,tt0795368,67.0,Death at a Funeral
11919,tt0432264,50.0,Clubland
11921,tt0337978,69.0,Live Free or Die Hard
11922,tt0762114,25.0,License to Wed
11923,tt0765447,45.0,Evening
11924,tt0413099,37.0,Evan Almighty
11925,tt0418279,61.0,Transformers
11926,tt0374563,24.0,Captivity
11927,tt0373889,71.0,Harry Potter and the Order of the Phoenix
11928,tt0762107,37.0,I Now Pronounce You Chuck & Larry
11934,tt0837106,n/a,Arn: The Knight Templar
11942,tt0445922,56.0,Across the Universe
11943,tt0772157,61.0,Broken English
