,imdb_id,imdb_metascore,title
20100,tt2205401,32.0,Addicted
21667,tt2182163,n/a,The Dragonphoenix Chronicles: Indomitable
21875,tt1825157,68.0,The Double
22244,tt2198241,23.0,The Outsider
22415,tt2473682,42.0,Paranormal Activity: The Marked Ones
22449,tt2707858,51.0,Yves Saint Laurent
22461,tt2325002,40.0,Freezer
22520,tt1408253,41.0,Ride Along
22524,tt1205537,57.0,Jack Ryan: Shadow Recruit
22525,tt1840309,48.0,Divergent
22529,tt2304953,19.0,Reasonable Doubt
22532,tt2707848,52.0,Saint Laurent
22540,tt2752758,34.0,Devil's Due
22541,tt3019694,n/a,Not My Day
22583,tt1464191,56.0,Decoding Annie Parker
22594,tt3060952,n/a,Justice League: War
22620,tt1757800,64.0,Mitt
22646,tt1418377,30.0,"I, Frankenstein"
22655,tt1609479,40.0,Better Living Through Chemistry
22673,tt2427892,67.0,Tom at the Farm
22677,tt3074694,n/a,Flowers in the Attic
22705,tt3183716,n/a,Asier ETA biok
22716,tt2177771,52.0,The Monuments Men
22718,tt1490017,83.0,The Lego Movie
22723,tt1234721,52.0,RoboCop
22761,tt1742334,41.0,Sabotage
22763,tt3462892,n/a,HalloHallo
22775,tt0458413,34.0,A Long Way Down
22776,tt3092076,n/a,The Three Brothers: The Return
22783,tt1878942,56.0,Date and Switch
22785,tt2333804,50.0,The Zero Theorem
22786,tt2318092,30.0,Endless Love
22787,tt1837709,31.0,Winter's Tale
22803,tt2382396,74.0,Joe
22823,tt1978532,52.0,Someone Marry Barry
22840,tt1826590,62.0,About Last Night
22841,tt2278388,88.0,The Grand Budapest Hotel
22842,tt2390237,52.0,Cuban Fury
22847,tt3469910,70.0,"Black Coal, Thin Ice"
22848,tt3469964,n/a,Blind Massage
22849,tt1673734,29.0,Jamesy Boy
22850,tt3290276,n/a,Jailbait
22865,tt2980794,40.0,Highway
22868,tt3421514,n/a,Superchondriac
22870,tt2442502,n/a,Prêt à tout
22877,tt1800246,36.0,That Awkward Moment
22879,tt0816692,74.0,Interstellar
22888,tt3386954,n/a,The Gabby Douglas Story
22895,tt2172934,40.0,3 Days to Kill
22899,tt2024469,56.0,Non-Stop
22927,tt1253863,48.0,300: Rise of an Empire
22939,tt2275656,n/a,Threads of Destiny
22942,tt2212008,28.0,The Bag Man
22949,tt2910274,76.0,Obvious Child
22961,tt2823088,n/a,Carmina and Amen
22962,tt2350892,n/a,Bad Country
22979,tt0864835,59.0,Mr. Peabody & Sherman
22980,tt1441395,78.0,Under the Skin
22981,tt2369135,39.0,Need for Speed
22982,tt2355495,22.0,Barefoot
22985,tt2771372,62.0,Veronica Mars
22995,tt3210686,37.0,Son of God
23018,tt2955316,n/a,Spanish Affair
23038,tt2524822,n/a,Schwestern
23046,tt2969776,n/a,Le Crocodile du Botswanga
23053,tt1843866,70.0,Captain America: The Winter Soldier
23062,tt1959490,68.0,Noah
23063,tt1821658,37.0,The Nut Job
23064,tt3482378,n/a,Avengers Confidential: Black Widow & Punisher
23068,tt2626102,n/a,Takedown: The DNA of GSP
23103,tt3129564,72.0,Diplomacy
23108,tt2059171,44.0,13 Sins
23110,tt1043726,22.0,The Legend of Hercules
23111,tt2281587,61.0,Muppets Most Wanted
23119,tt2852470,87.0,The Missing Picture
23128,tt3203290,n/a,Free to Play
23136,tt2836252,n/a,Junior
23148,tt2101570,40.0,In the Blood
23158,tt2235779,41.0,The Quiet Ones
23159,tt2223990,54.0,Draft Day
23170,tt2265171,71.0,The Raid 2
23187,tt1872181,53.0,The Amazing Spider-Man 2
23193,tt3139072,n/a,Son of Batman
23198,tt2234003,77.0,Calvary
23205,tt2528814,16.0,God's Not Dead
23208,tt1179031,73.0,Cold in July
23216,tt2316801,39.0,Beauty and the Beast
23224,tt2357291,49.0,Rio 2
23225,tt2246565,76.0,An Honest Liar
23228,tt2101569,n/a,In Your Eyes
23229,tt2458776,68.0,Bears
23234,tt2209764,42.0,Transcendence
23239,tt1929263,47.0,Heaven is for Real
23245,tt2203939,39.0,The Other Woman
23246,tt2828996,17.0,A Haunted House 2
23257,tt1686821,31.0,Vampire Academy
23263,tt1430612,40.0,Brick Mansions
23276,tt2692904,81.0,Locke
23281,tt2401807,28.0,Rage
23288,tt3105418,n/a,Garden Lovers
23289,tt1921064,39.0,Pompeii
23309,tt2004420,68.0,Neighbors
23318,tt3600760,n/a,Alpha and Omega 3: The Great Wolf Games
23322,tt2525342,56.0,"A Fragile Trust: Plagiarism, Power, and Jayson Blair at the New York Times"
23327,tt2516610,n/a,20 Ft Below: The Darkness Descending
23335,tt1361318,42.0,Good People
23349,tt3014666,25.0,Moms' Night Out
23358,tt2872732,61.0,Lucy
23359,tt1877832,75.0,X-Men: Days of Future Past
23360,tt0831387,62.0,Godzilla
23364,tt2463288,25.0,Walk of Shame
23367,tt2359024,78.0,Blue Ruin
23368,tt2479800,69.0,Palo Alto
23369,tt0780548,54.0,Kid Cannabis
23376,tt3481550,n/a,Jim Gaffigan: Obsessed
23379,tt2883512,68.0,Chef
23387,tt3087752,n/a,Rosemary's Baby
23397,tt3114132,75.0,"10,000 km"
23399,tt1684226,n/a,The Normal Heart
23405,tt2309961,56.0,Afflicted
23414,tt2904608,n/a,Turks & Caicos
23415,tt2904626,n/a,Salting the Battlefield
23418,tt3727486,n/a,Die Fischerin
23421,tt1086772,31.0,Blended
23423,tt3082826,64.0,Kelly & Cal
23424,tt3219678,n/a,A Brony Tale
23437,tt1587310,56.0,Maleficent
23438,tt1976000,66.0,The Two Faces of January
23439,tt2784512,44.0,Zombeavers
23442,tt2676350,n/a,April Rain
23455,tt2337576,n/a,Scooby-Doo! WrestleMania Mystery
23459,tt2557490,44.0,A Million Ways to Die in the West
23465,tt1631867,71.0,Edge of Tomorrow
23467,tt2800240,n/a,Serial (Bad) Weddings
23471,tt2167266,78.0,Tracks
23477,tt1647668,56.0,Million Dollar Arm
23484,tt2290567,n/a,Once Upon a Time in Shanghai
23489,tt2996648,n/a,Bad Ass 2: Bad Asses
23495,tt1975159,n/a,Flight 7500
23498,tt2994646,38.0,Black Coffee
23508,tt2560102,61.0,Lilting
23512,tt2582846,69.0,The Fault in Our Stars
23513,tt2319580,57.0,The Grand Seduction
23537,tt2172584,67.0,Maps to the Stars
23543,tt2107850,n/a,The Case Against 8
23550,tt2246887,7.0,Back in the Day
23553,tt2294449,71.0,22 Jump Street
23554,tt2465578,63.0,Human Capital
23555,tt0455944,57.0,The Equalizer
23557,tt1646971,76.0,How to Train Your Dragon 2
23561,tt2562232,87.0,Birdman
23568,tt2486278,n/a,Blood Shed
23589,tt2386278,33.0,Haunt
23590,tt2481248,n/a,Doc of the Dead
23593,tt3125472,81.0,Coming Home
23594,tt1065073,100.0,Boyhood
23596,tt3485880,n/a,Tillbaka till Bromma
23599,tt2239832,38.0,Think Like a Man Too
23602,tt1742044,54.0,Jersey Boys
23608,tt3268458,72.0,The Internet's Own Boy: The Story of Aaron Swartz
23612,tt2290067,n/a,112 Weddings
23617,tt2109248,32.0,Transformers: Age of Extinction
23625,tt2714900,75.0,Finding Vivian Maier
23626,tt2785288,n/a,Jack Strong
23628,tt2027231,44.0,Perfect Sisters
23631,tt1605717,75.0,Frank
23641,tt2398249,60.0,They Came Together
23642,tt3528874,n/a,Questioning Darwin
23645,tt2980706,48.0,Planes: Fire & Rescue
23654,tt3433074,n/a,Mrs. Brown's Boys D'Movie
23657,tt3375370,n/a,The Gunfighter
23659,tt2103254,39.0,Tammy
23665,tt2321549,86.0,The Babadook
23667,tt3449040,n/a,Killer Legends
23672,tt2844798,80.0,White God
23673,tt2582802,88.0,Whiplash
23675,tt2267998,79.0,Gone Girl
23678,tt1294970,21.0,The Angriest Man in Brooklyn
23679,tt2382298,87.0,Life Itself
23682,tt2194328,64.0,Finding Fela
23684,tt1633224,n/a,Missing William
23688,tt2941330,n/a,The Sunfish
23692,tt2103281,79.0,Dawn of the Planet of the Apes
23696,tt3141912,n/a,Gun Woman
23700,tt3445270,75.0,The Battered Bastards of Baseball
23705,tt2544734,n/a,Bullet
23717,tt2377322,40.0,Deliver Us from Evil
23724,tt2465146,38.0,And So It Goes
23725,tt3572132,n/a,Ju-on: The Beginning of the End
23727,tt2310792,n/a,Healing
23729,tt2182256,34.0,Premature
23737,tt1956620,36.0,Sex Tape
23743,tt2884206,57.0,I Origins
23748,tt2975578,50.0,The Purge: Anarchy
23753,tt2015381,76.0,Guardians of the Galaxy
23758,tt2910814,54.0,The Signal
23764,tt3110960,63.0,Jimmy's Hall
23767,tt2333784,35.0,The Expendables 3
23768,tt2574698,n/a,Gunday
23770,tt3175038,n/a,Ek Villain
23772,tt1267297,47.0,Hercules
23773,tt3872778,n/a,Monty Python Live (Mostly)
23774,tt2956808,n/a,Once My Mother
23776,tt1964773,69.0,Hide Your Smiling Faces
23780,tt1972571,73.0,A Most Wanted Man
23783,tt2870708,43.0,Wish I Was Here
23797,tt2106529,n/a,Lust for Love
23818,tt3186318,55.0,Hellion
23819,tt2967006,75.0,The Trip to Italy
23822,tt2183034,53.0,Earth to Echo
23826,tt2555268,70.0,Maidentrip
