,imdb_id,imdb_metascore,title
11963,tt0423977,54.0,Charlie Bartlett
12037,tt1286600,n/a,New Wave
12142,tt0780534,n/a,My Mom's New Boyfriend
12172,tt0799934,52.0,Be Kind Rewind
12300,tt0988595,47.0,27 Dresses
12328,tt1060277,64.0,Cloverfield
12329,tt0951216,41.0,Mad Money
12353,tt0479968,24.0,One Missed Call
12354,tt0486578,41.0,First Sunday
12355,tt0880578,32.0,Untraceable
12356,tt0462499,46.0,Rambo
12357,tt0770810,63.0,How She Move
12358,tt1073498,9.0,Meet the Spartans
12359,tt0406759,36.0,The Eye
12360,tt0489282,12.0,Strange Wilderness
12361,tt0785007,30.0,Over Her Dead Body
12365,tt0411477,78.0,Hellboy II: The Golden Army
12368,tt0780536,67.0,In Bruges
12394,tt0494652,46.0,Welcome Home Roscoe Jenkins
12395,tt0770752,29.0,Fool's Gold
12405,tt0489099,35.0,Jumper
12408,tt0832266,59.0,"Definitely, Maybe"
12415,tt0443274,40.0,Vantage Point
12416,tt0416236,62.0,The Spiderwick Chronicles
12417,tt1023481,50.0,Step Up 2: The Streets
12418,tt0449994,69.0,Jodhaa Akbar
12423,tt1001562,17.0,Witless Protection
12424,tt0467200,50.0,The Other Boleyn Girl
12425,tt0839980,47.0,Semi-Pro
12440,tt0997047,36.0,College Road Trip
12441,tt0443649,34.0,"10,000 BC"
12442,tt0200465,69.0,The Bank Job
12443,tt0483607,51.0,Doomsday
12444,tt0451079,71.0,Horton Hears a Who!
12449,tt0811138,24.0,The Love Guru
12450,tt0475998,49.0,VeggieTales: The Pirates Who Don't Do Anything
12461,tt0902272,n/a,Justice League: The New Frontier
12467,tt0486674,n/a,What Just Happened
12472,tt0970468,63.0,Miss Pettigrew Lives for a Day
12473,tt0453548,67.0,Snow Angels
12481,tt0468569,84.0,The Dark Knight
12490,tt1023111,39.0,Never Back Down
12494,tt0940709,46.0,CJ7
12495,tt0817538,41.0,Drillbit Taylor
12497,tt0796307,59.0,Under the Same Moon
12508,tt0478087,48.0,21
12509,tt0858479,57.0,Smart People
12514,tt0827521,n/a,The Shepherd: Border Patrol
12515,tt0379865,56.0,Leatherheads
12521,tt0489281,61.0,Stop-Loss
12522,tt0893382,76.0,Shine a Light
12524,tt0995061,68.0,The Business of Being Born
12531,tt0903627,62.0,Julia
12532,tt0827713,n/a,I Always Wanted to Be a Gangster
12533,tt1068658,n/a,Just Anybody
12536,tt0410377,55.0,Nim's Island
12537,tt0963794,44.0,The Ruins
12540,tt0800039,67.0,Forgetting Sarah Marshall
12542,tt0426592,33.0,Superhero Movie
12543,tt0421073,55.0,Street Kings
12545,tt0481536,57.0,Harold & Kumar Escape from Guantanamo Bay
12548,tt0811080,37.0,Speed Racer
12550,tt1007950,54.0,Diminished Capacity
12554,tt0865556,57.0,The Forbidden Kingdom
12555,tt0963208,45.0,Where in the World Is Osama Bin Laden?
12560,tt1045670,84.0,Happy-Go-Lucky
12561,tt0815241,56.0,Religulous
12579,tt0800240,31.0,Deception
12580,tt0871426,55.0,Baby Mama
12584,tt1091617,20.0,Expelled: No Intelligence Allowed
12586,tt0926129,17.0,Prom Night
12588,tt0371746,79.0,Iron Man
12590,tt0866439,37.0,Made of Honor
12591,tt1012804,69.0,Redbelt
12592,tt0475984,53.0,Mister Lonely
12595,tt0936501,51.0,Taken
12596,tt0977214,n/a,Hero Wanted
12598,tt0460791,64.0,The Fall
12599,tt0942903,n/a,Stargate: The Ark of Truth
12604,tt1033643,36.0,What Happens in Vegas
12614,tt0499448,62.0,The Chronicles of Narnia: Prince Caspian
12619,tt0415489,n/a,American Crude
12620,tt1047007,75.0,Young @ Heart
12621,tt0884224,37.0,"War, Inc."
12625,tt0367882,65.0,Indiana Jones and the Kingdom of the Crystal Skull
12627,tt0469099,n/a,Hey Hey It's Esther Blueburger
12629,tt0893509,n/a,Blonde and Blonder
12631,tt0940620,66.0,Patti Smith: Dream of Life
12638,tt0488604,n/a,The Oxford Murders
12639,tt0482599,37.0,Shutter
12641,tt1000774,53.0,Sex and the City
12642,tt0482606,47.0,The Strangers
12644,tt1151309,80.0,Bigger Stronger Faster*
12645,tt0490076,44.0,All the Boys Love Mandy Lane
12647,tt1219671,n/a,Allan Quatermain and the Temple of Skulls
12648,tt0441773,73.0,Kung Fu Panda
12653,tt1000771,n/a,Recount
12671,tt0424600,n/a,The Andromeda Strain
12675,tt0960144,54.0,You Don't Mess with the Zohan
12677,tt0803057,51.0,The Promotion
12691,tt0460745,44.0,Chaos Theory
12695,tt1037033,n/a,A Complete History of My Sexual Failures
12699,tt0949731,34.0,The Happening
12700,tt0800080,61.0,The Incredible Hulk
12701,tt0923600,62.0,Baghead
12702,tt0889588,49.0,The Children of Huang Shi
12704,tt0910970,95.0,WALL·E
12705,tt0493464,64.0,Wanted
12706,tt0448157,49.0,Hancock
12712,tt0811128,55.0,Turn the River
12713,tt0425061,54.0,Get Smart
12722,tt1054485,n/a,Futurama: The Beast with a Billion Backs
12724,tt0929235,n/a,At the Death House Door
12740,tt1204298,59.0,Gunnin' for That #1 Spot
12741,tt0889134,51.0,Finding Amanda
12742,tt0846308,63.0,Kit Kittredge: An American Girl
12743,tt0479468,73.0,Gonzo: The Life and Work of Dr. Hunter S. Thompson
12744,tt1082886,61.0,The Wackness
12752,tt0888693,40.0,Sleepwalking
12755,tt0487928,n/a,Dante 01
12756,tt0896866,70.0,Standard Operating Procedure
12760,tt0960890,45.0,Zombie Strippers!
12763,tt1157705,78.0,Roman Polanski: Wanted and Desired
12768,tt0795421,51.0,Mamma Mia!
12770,tt1064932,n/a,Welcome to the Sticks
12776,tt0997188,n/a,The Home of Dark Butterflies
12777,tt0985025,n/a,Dark Floors
12782,tt0787523,57.0,Towelhead
12785,tt1210351,n/a,Lost Islands
12789,tt0373051,57.0,Journey to the Center of the Earth
12790,tt0765476,43.0,Meet Dave
12791,tt1050160,n/a,The Machine Girl
12792,tt0470679,39.0,August
12810,tt0800241,72.0,Transsiberian
12811,tt0482603,36.0,Space Chimps
12814,tt0929629,n/a,Stargate: Continuum
12817,tt1043838,n/a,Conspiracy
12818,tt0865957,n/a,War Games: The Dead Code
12825,tt1117385,58.0,Felon
12826,tt0838283,51.0,Step Brothers
12827,tt0412536,64.0,Brideshead Revisited
12828,tt0443701,47.0,The X Files: I Want to Believe
12829,tt0486259,66.0,American Teen
12830,tt1155592,89.0,Man on Wire
12831,tt1157620,54.0,CSNY/Déjà Vu
12834,tt1079959,n/a,The Colour of Magic
12838,tt0964539,55.0,Pathology
12844,tt0819714,39.0,The Edge of Love
12849,tt0859163,31.0,The Mummy: Tomb of the Dragon Emperor
12850,tt1027862,47.0,Swing Vote
12851,tt0805570,58.0,The Midnight Meat Train
12852,tt0978759,82.0,Frozen River
12854,tt0914797,56.0,Bottle Shock
12855,tt0497465,70.0,Vicky Cristina Barcelona
12856,tt1117563,n/a,Batman: Gotham Knight
12866,tt0910936,64.0,Pineapple Express
12867,tt0425637,73.0,Red Cliff
12873,tt1018785,63.0,The Sisterhood of the Traveling Pants 2
12874,tt0411475,25.0,Hell Ride
12875,tt0974554,66.0,Elegy
12876,tt0382053,n/a,The Good Humor Man
12879,tt0469640,n/a,Bathory: Countess of Blood
12880,tt0414426,55.0,Quid Pro Quo
12883,tt0942385,71.0,Tropic Thunder
12884,tt0962711,26.0,The Objective
12885,tt1185834,35.0,Star Wars: The Clone Wars
12886,tt1029120,44.0,Henry Poole Is Here
12888,tt0490181,n/a,Mutant Chronicles
12890,tt1185616,91.0,Waltz with Bashir
12891,tt1139797,82.0,Let the Right One In
12892,tt1104733,54.0,Hamlet 2
12893,tt0452608,43.0,Death Race
12894,tt0852713,55.0,The House Bunny
12895,tt1091751,52.0,The Longshots
12896,tt1031969,53.0,The Rocker
12897,tt0963807,70.0,I.O.U.S.A.
12898,tt0790686,35.0,Mirrors
12900,tt0486321,36.0,Fly Me to the Moon
12906,tt0425308,55.0,Noise
12909,tt1172206,77.0,Somers Town
12910,tt0887883,63.0,Burn After Reading
12911,tt1213644,15.0,Disaster Movie
12912,tt0364970,26.0,Babylon A.D.
12913,tt0988047,60.0,Traitor
12914,tt0844671,15.0,College
12915,tt1149405,83.0,Trouble the Water
12916,tt0430770,27.0,The Women
12918,tt0392878,n/a,The Onion Movie
12921,tt0831887,30.0,The Spirit
12922,tt0472027,n/a,John Adams
12925,tt1068641,45.0,The Burning Plain
12927,tt0814022,24.0,Bangkok Dangerous
12933,tt0492881,n/a,The Fifth Commandment
12934,tt1087458,n/a,The Subtenant
12939,tt1282045,n/a,Flu Bird Horror
12944,tt1034331,36.0,Righteous Kill
12945,tt0947802,47.0,Lakeview Terrace
12948,tt0995039,72.0,Ghost Town
12949,tt0454976,n/a,Maradona by Kusturica
12959,tt0870122,54.0,Humboldt County
12960,tt0899128,n/a,100 Feet
12961,tt0870204,n/a,Boot Camp
12965,tt0800308,64.0,Appaloosa
12966,tt1046997,37.0,Miracle at St. Anna
12969,tt1282036,n/a,Dead Fury
12970,tt0920461,n/a,Tears of April
12975,tt1059786,43.0,Eagle Eye
12976,tt0455538,35.0,How to Lose Friends & Alienate People
12978,tt0956038,39.0,Nights in Rodanthe
