,imdb_id,imdb_metascore,title
23472,tt2381249,75.0,Mission: Impossible - Rogue Nation
23896,tt1617661,40.0,Jupiter Ascending
24482,tt0470752,78.0,Ex Machina
24573,tt3263614,68.0,"Kumiko, the Treasure Hunter"
25055,tt1390411,47.0,In the Heart of the Sea
25084,tt0369610,59.0,Jurassic World
25206,tt4046784,43.0,Maze Runner: The Scorch Trials
25451,tt3659786,n/a,Marvellous
25534,tt2802144,60.0,Kingsman: The Secret Service
25797,tt1823672,41.0,Chappie
25836,tt2717822,51.0,Blackhat
25844,tt4186386,n/a,Beck 27 - Rum 302
25865,tt1340138,38.0,Terminator Genisys
26031,tt3235888,83.0,It Follows
26293,tt4186390,n/a,Beck 28 - Familjen
26553,tt1392190,90.0,Mad Max: Fury Road
26554,tt3195644,52.0,Insidious: Chapter 3
26555,tt2488496,81.0,Star Wars: The Force Awakens
26558,tt2395427,66.0,Avengers: Age of Ultron
26562,tt0478970,64.0,Ant-Man
26563,tt1502712,27.0,Fantastic Four
27152,tt3878542,n/a,Justice League: Throne of Atlantis
27284,tt2401223,n/a,Richard Pryor: Omit the Logic
27477,tt3045616,27.0,Mortdecai
27478,tt2322441,46.0,Fifty Shades of Grey
27661,tt4191054,25.0,Strange Magic
27665,tt1666801,56.0,The DUFF
27674,tt1945084,35.0,Everly
27815,tt2436386,47.0,Project Almanac
27816,tt4368814,n/a,Louis C.K.: Live at The Comedy Store
27819,tt2381111,88.0,Brooklyn
27820,tt3704416,69.0,Digging for Fire
27821,tt3534282,39.0,Don Verdean
27822,tt3416744,82.0,The End of the Tour
27823,tt3726704,81.0,Experimenter
27824,tt3713030,56.0,I Am Michael
27825,tt3442990,45.0,Lila & Eve
27827,tt3236120,75.0,I'll See You in My Dreams
27828,tt2566644,63.0,Seoul Searching
27829,tt2349144,77.0,Mississippi Grind
27830,tt2872462,75.0,Mistress America
27831,tt3346224,39.0,Zipper
27832,tt1178665,51.0,A Walk in the Woods
27833,tt2273657,50.0,True Story
27834,tt3397754,62.0,Ten Thousand Saints
27835,tt3165612,64.0,Sleeping with Other People
27836,tt4264834,n/a,Beaver Trilogy Part IV
27837,tt1674785,74.0,Drunk Stoned Brilliant Dead: The Story of the National Lampoon
27838,tt4229236,83.0,Cobain: Montage of Heck
27839,tt4185572,77.0,The Hunting Ground
27840,tt4209900,69.0,Fresh Dressed
27841,tt4257858,80.0,Going Clear: Scientology and the Prison of Belief
27842,tt3983674,n/a,The Mask You Live In
27843,tt4188202,77.0,Prophet's Prey
27844,tt3986532,n/a,Tig
27845,tt1780871,n/a,In Football We Trust
27846,tt4267108,n/a,Most Likely to Succeed
27847,tt4284010,75.0,"What Happened, Miss Simone?"
27859,tt3090670,59.0,Advantageous
27862,tt3534602,n/a,The D Train
27863,tt3172532,87.0,The Diary of a Teenage Girl
27864,tt3850214,72.0,Dope
27865,tt3640682,59.0,I Smile Back
27866,tt2582496,74.0,Me and Earl and the Dying Girl
27867,tt3844362,65.0,The Overnight
27868,tt4104022,68.0,"People, Places, Things"
27869,tt3824412,73.0,Results
27870,tt3566788,63.0,Songs My Brothers Taught Me
27871,tt0420293,67.0,The Stanford Prison Experiment
27872,tt2481512,47.0,"Stockholm, Pennsylvania"
27873,tt4145304,65.0,Unexpected
27874,tt1598642,68.0,Z for Zachariah
27920,tt3066630,83.0,The Forbidden Room
27926,tt3480796,17.0,Vice
27941,tt3667610,n/a,A Grain of Truth
27948,tt2366608,42.0,Lost River
27957,tt2442080,n/a,Chuck Norris vs Communism
27965,tt4142022,n/a,Italiano medio
28131,tt3460252,68.0,The Hateful Eight
28159,tt3125220,56.0,Little Accidents
28165,tt2231253,40.0,Wild Card
28171,tt3622592,56.0,Paper Towns
28175,tt0884732,35.0,The Wedding Ringer
28188,tt3220192,n/a,The Master Plan
28207,tt3181822,30.0,The Boy Next Door
28208,tt3007302,68.0,Boy Meets Girl
28213,tt2101383,53.0,Knight of Cups
28214,tt3544082,94.0,45 Years
28215,tt2711898,56.0,Diary of a Chambermaid
28216,tt4135844,83.0,Volcano
28217,tt4358230,n/a,Body
28218,tt2735996,n/a,Endless Night
28219,tt3306858,n/a,As We Were Dreaming
28221,tt4226388,77.0,Victoria
28223,tt4368334,n/a,Petting Zoo
28227,tt2802136,22.0,Home Sweet Hell
28246,tt3685818,n/a,Adult Camp
28261,tt3904272,n/a,Bizarre
28290,tt2554274,66.0,Crimson Peak
28292,tt3829170,n/a,Dragonheart 3: The Sorcerer's Curse
28348,tt2637294,29.0,Hot Tub Time Machine 2
28363,tt2231646,n/a,The Man in the Orange Jacket
28365,tt2123170,n/a,The Coven
28411,tt2933474,n/a,Superfast!
28437,tt3265462,68.0,Han Gong-ju
28443,tt2381941,56.0,Focus
28447,tt1707380,32.0,Every Thing Will Be Fine
28450,tt2279373,62.0,The SpongeBob Movie: Sponge Out of Water
28451,tt1841642,n/a,Demonic
28476,tt2555736,51.0,The Second Best Exotic Marigold Hotel
28526,tt2401097,45.0,Tracers
28527,tt2097298,60.0,"McFarland, USA"
28533,tt2909116,58.0,Wolf Totem
28542,tt2918436,31.0,The Lazarus Effect
28554,tt2358925,32.0,Unfinished Business
28579,tt3233418,50.0,Spare Parts
28580,tt4397346,68.0,Bikes vs Cars
28581,tt4189260,n/a,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League
28593,tt1850418,n/a,To Write Love on Her Arms
28624,tt2199571,59.0,Run All Night
28627,tt3042626,41.0,Asthma
28630,tt3030354,n/a,Assassin
28653,tt1991031,45.0,Digging Up the Marrow
28656,tt3785740,65.0,Kingdom of Shadows
28662,tt3110770,50.0,Road Hard
28664,tt1661199,67.0,Cinderella
