,imdb_id,imdb_metascore,title
4122,tt2043893,n/a,Kingdom Come
5766,tt1790669,49.0,My Kingdom
11155,tt1701210,32.0,Black Gold
15727,tt1609145,n/a,No One Dies in Lily Dale
15810,tt1328867,53.0,Some Days Are Better Than Others
15854,tt1511400,49.0,Just Like Us
16113,tt2408288,n/a,The House
16206,tt1152398,40.0,Beastly
16437,tt0990407,39.0,The Green Hornet
16463,tt0479997,28.0,Season of the Witch
16492,tt0409847,50.0,Cowboys & Aliens
16532,tt1578275,46.0,The Dilemma
16572,tt1219289,59.0,Limitless
16604,tt1781069,n/a,Zeitgeist: Moving Forward
16615,tt1667150,n/a,What Women Want
16621,tt1411238,50.0,No Strings Attached
16623,tt1189340,63.0,The Lincoln Lawyer
16624,tt1161864,38.0,The Rite
16626,tt1699114,n/a,All Star Superman
16664,tt0893412,39.0,From Prada to Nada
16670,tt1401152,56.0,Unknown
16671,tt0881320,42.0,Sanctum
16672,tt1477837,70.0,Cedar Rapids
16675,tt0377981,53.0,Gnomeo & Juliet
16705,tt1092026,57.0,Paul
16737,tt1502404,44.0,Drive Angry
16738,tt1192628,75.0,Rango
16740,tt0810922,42.0,Take Me Home Tonight
16742,tt1385826,60.0,The Adjustment Bureau
16760,tt0472399,49.0,The Mechanic
16761,tt0480687,45.0,Hall Pass
16762,tt1034389,55.0,The Eagle
16763,tt1464540,36.0,I Am Number Four
16769,tt1217613,37.0,Battle: Los Angeles
16783,tt1510938,n/a,The Sunset Limited
16788,tt1305591,49.0,Mars Needs Moms
16818,tt1564367,33.0,Just Go with It
16827,tt1486185,29.0,Red Riding Hood
16828,tt1464174,22.0,"Big Mommas: Like Father, Like Son"
16833,tt0945513,74.0,Source Code
16834,tt1229822,76.0,Jane Eyre
16842,tt0978764,33.0,Sucker Punch
16853,tt1487118,42.0,Chalet Girl
16888,tt1640459,55.0,Hobo with a Shotgun
16892,tt1606392,75.0,Win Win
16911,tt1650043,51.0,Diary of a Wimpy Kid: Rodrick Rules
16917,tt1411704,41.0,Hop
16946,tt0993842,65.0,Hanna
16962,tt1334512,36.0,Arthur
16963,tt1262416,52.0,Scream 4
16964,tt1436562,63.0,Rio
16972,tt1527186,80.0,Melancholia
16974,tt0800369,57.0,Thor
16980,tt0480239,28.0,Atlas Shrugged Part I
16990,tt1334102,n/a,The Resident
16991,tt1606180,53.0,That's What I Am
17011,tt1492030,n/a,Mildred Pierce
17031,tt1067583,52.0,Water for Elephants
17036,tt1853563,n/a,Foo Fighters: Back and Forth
17041,tt1223236,61.0,African Cats
17048,tt1416801,50.0,Kill the Irishman
17052,tt1596343,66.0,Fast Five
17102,tt1596346,53.0,Soul Surfer
17103,tt0491152,36.0,Something Borrowed
17107,tt1478338,75.0,Bridesmaids
17108,tt0822847,41.0,Priest
17115,tt1321860,60.0,The Beaver
17124,tt1298650,45.0,Pirates of the Caribbean: On Stranger Tides
17125,tt1605783,81.0,Midnight in Paris
17126,tt1827512,87.0,The Kid with a Bike
17130,tt0478304,85.0,The Tree of Life
17136,tt1411697,44.0,The Hangover Part II
17142,tt1697920,66.0,Fly Away
17158,tt1440266,83.0,Pina
17164,tt1265990,23.0,The Roommate
17194,tt0847825,n/a,The Speed of Thought
17204,tt1478964,75.0,Attack the Block
17207,tt1735485,n/a,The Tunnel
17213,tt1302011,67.0,Kung Fu Panda 2
17217,tt1270798,65.0,X-Men: First Class
17218,tt1440292,76.0,Submarine
17226,tt1570962,n/a,A Nightmare in Las Cruces
17235,tt0810856,n/a,Eyes of the Mothman
17238,tt1650062,72.0,Super 8
17272,tt1133985,39.0,Green Lantern
17280,tt1623742,n/a,Cinema Verite
17282,tt1396218,53.0,Mr. Popper's Penguins
17283,tt1284575,47.0,Bad Teacher
17293,tt1399103,42.0,Transformers: Dark of the Moon
17294,tt1583420,41.0,Larry Crowne
17296,tt1240982,31.0,Your Highness
17305,tt1547230,37.0,Judy Moody and the Not Bummer Summer
17312,tt1601475,n/a,Seconds Apart
17321,tt1742683,n/a,Too Big to Fail
17344,tt1528312,n/a,Route Irish
17355,tt1198075,n/a,"Cougars, Inc."
17357,tt1222817,30.0,Zookeeper
17358,tt1499658,57.0,Horrible Bosses
17361,tt1216475,57.0,Cars 2
17367,tt1087461,n/a,Megan is Missing
17376,tt1787777,68.0,Page One: Inside the New York Times
17387,tt1697851,n/a,Burn Notice: The Fall of Sam Axe
17402,tt1823051,n/a,200 MPH
17403,tt1445203,n/a,Hot Coffee
17419,tt1728239,n/a,Double Dhamaal
