,imdb_id,imdb_metascore,title
6719,tt0335563,43.0,Wonderland
6721,tt0327056,84.0,Mystic River
6722,tt0326900,49.0,Good Boy!
6723,tt0317676,15.0,House of the Dead
6724,tt0138524,71.0,Intolerable Cruelty
6725,tt0266697,69.0,Kill Bill: Vol. 1
6726,tt0342300,52.0,Dopamine
6727,tt0322289,67.0,The Flower of Evil
6728,tt0339071,52.0,Girls Will Be Girls
6730,tt0313542,61.0,Runaway Jury
6731,tt0324216,38.0,The Texas Chainsaw Massacre
6732,tt0311648,70.0,Pieces of April
6734,tt0325055,56.0,Sylvia
6735,tt0312549,55.0,Veronica Guerin
6736,tt0199626,46.0,In the Cut
6737,tt0294357,32.0,Beyond Borders
6738,tt0316465,38.0,Radio
6739,tt0306047,49.0,Scary Movie 3
6740,tt0328880,48.0,Brother Bear
6741,tt0363589,70.0,Elephant
6743,tt0314676,45.0,The Singing Detective
6746,tt0338290,n/a,Normal
6776,tt0308383,57.0,The Human Stain
6777,tt0322023,54.0,"Die, Mommie, Die!"
6779,tt0368745,69.0,Girlhood
6780,tt0339607,9.0,Mail Order Bride
6781,tt0323944,73.0,Shattered Glass
6783,tt0242653,47.0,The Matrix Revolutions
6784,tt0363510,81.0,The Revolution Will Not Be Televised
6785,tt0319343,64.0,Elf
6787,tt0379713,50.0,Billabong Odyssey
6790,tt0380473,50.0,Just an American Boy
6791,tt0314331,55.0,Love Actually
6794,tt0373175,81.0,My Architect
6795,tt0318155,64.0,Looney Tunes: Back in Action
6796,tt0311113,81.0,Master and Commander: The Far Side of the World
6797,tt0343121,66.0,Tupac: Resurrection
6798,tt0321442,n/a,The Big Empty
6799,tt0338188,55.0,The Missing
6800,tt0312528,19.0,The Cat in the Hat
6801,tt0348836,38.0,Gothika
6802,tt0315733,70.0,21 Grams
6803,tt0338135,70.0,The Barbarian Invasions
6805,tt0307987,70.0,Bad Santa
6806,tt0338094,34.0,The Haunted Mansion
6807,tt0300556,28.0,Timeline
6968,tt0326820,n/a,Dark Wolf
6985,tt0318374,69.0,The Cooler
6987,tt0298845,76.0,In America
6989,tt0342804,78.0,My Flesh and Blood
6990,tt0322589,37.0,Honey
6991,tt0325710,55.0,The Last Samurai
6993,tt0343172,62.0,What Alice Found
6994,tt0319061,58.0,Big Fish
6995,tt0337592,37.0,Love Don't Cost a Thing
6996,tt0337741,66.0,Something's Gotta Give
6997,tt0338466,62.0,Stuck on You
6998,tt0335119,72.0,Girl with a Pearl Earring
6999,tt0340376,45.0,The Statement
7000,tt0167260,94.0,The Lord of the Rings: The Return of the King
7001,tt0304415,45.0,Mona Lisa Smile
7002,tt0337909,60.0,Calendar Girls
7003,tt0317910,87.0,The Fog of War
7004,tt0317640,41.0,The Hebrew Hammer
7005,tt0315983,71.0,House of Sand and Fog
7007,tt0340855,74.0,Monster
7008,tt0349205,46.0,Cheaper by the Dozen
7009,tt0159365,73.0,Cold Mountain
7010,tt0338337,43.0,Paycheck
7011,tt0316396,64.0,Peter Pan
7012,tt0335013,73.0,The Company
7013,tt0318850,51.0,Young Black Stallion
7014,tt0304229,73.0,Japanese Story
7018,tt0364930,71.0,Aileen: Life and Death of a Serial Killer
7023,tt0371280,81.0,Crimson Gold
7024,tt0368913,83.0,Osama
7046,tt0323633,n/a,Melvin Goes to Dinner
7048,tt0310924,n/a,Crime Spree
7049,tt0222812,n/a,Beyond Re-Animator
7103,tt0379557,82.0,Touching the Void
7107,tt0345551,45.0,Latter Days
7112,tt0309987,62.0,The Dreamers
7132,tt0328538,70.0,Thirteen
7144,tt0323872,75.0,Kitchen Stories
7146,tt0329388,69.0,Monsieur Ibrahim
7161,tt0301777,66.0,Robot Stories
7169,tt0349079,57.0,Alila
7170,tt0301357,68.0,"Good bye, Lenin!"
7173,tt0258816,49.0,The Reckoning
7211,tt0332658,64.0,Intermission
7212,tt0351461,68.0,Noi the Albino
7217,tt0305583,53.0,A Foreign Affair
7218,tt0276919,60.0,Dogville
7219,tt0277941,56.0,Ned Kelly
7224,tt0301976,37.0,The United States of Leland
7229,tt0326977,73.0,I'm Not Scared
7230,tt0323939,40.0,Shade
7231,tt0336264,85.0,Since Otar Left
7232,tt0315110,43.0,Twentynine Palms
7237,tt0307351,48.0,Prey for Rock & Roll
7260,tt0342508,n/a,Hangman's Curse
7274,tt0358590,35.0,A Thousand Clouds of Peace
7275,tt0289635,67.0,Young Adam
7276,tt0308488,76.0,"This So-Called Disaster: Sam Shepard Directs ""The Late Henry Moss"""
7288,tt0339419,62.0,The Mudge Boy
7289,tt0296915,52.0,Valentin
7292,tt0293007,71.0,Carandiru
7293,tt0379217,65.0,Coffee and Cigarettes
7294,tt0329111,70.0,Strayed
7297,tt0330802,n/a,Raid
7420,tt0346336,89.0,The Best of Youth
7472,tt0287839,n/a,Frank Herbert's Children of Dune
7552,tt0365376,65.0,A Tale of Two Sisters
7575,tt0374546,85.0,"Spring, Summer, Fall, Winter... and Spring"
7609,tt0366532,59.0,Seducing Doctor Lewis
7621,tt0328844,68.0,The Inheritance
7622,tt0353014,53.0,Wonderful Days
7722,tt0323298,72.0,The Mother
7724,tt0324197,71.0,Time of the Wolf
7727,tt0363226,75.0,Zatoichi
7731,tt0363235,64.0,Bright Future
7740,tt0314431,n/a,Hope Springs
7815,tt0289944,61.0,Fear X
7828,tt0319531,56.0,I'll Sleep When I'm Dead
7838,tt0297753,40.0,Kaena: The Prophecy
7844,tt0220343,n/a,Plain Dirty
7847,tt0366943,60.0,Reconstruction
7850,tt0339230,n/a,Kops
7851,tt0342213,n/a,Comandante
7852,tt0339840,34.0,Undead
7861,tt0230512,71.0,Mayor of the Sunset Strip
7878,tt0295721,n/a,Taxi 3
7880,tt0388473,73.0,Tokyo Godfathers
7898,tt0342956,62.0,The Same River Twice
7900,tt0357567,37.0,Confessions of a Burning Man
7936,tt0358569,n/a,Live Forever
7964,tt0351770,78.0,His Brother
8019,tt0328031,n/a,King of the Ants
8052,tt0310778,68.0,Bon voyage
8065,tt0323465,n/a,Octane
8066,tt0250638,n/a,PTU
8073,tt0345061,57.0,Code 46
8082,tt0337960,56.0,Danny Deckchair
8105,tt0374330,54.0,Warriors of Heaven and Earth
8198,tt0324619,n/a,Spinning Boris
8203,tt0354575,79.0,The Five Obstructions
8204,tt0342143,n/a,Born Rich
8211,tt0390538,87.0,Tarnation
8215,tt0362174,n/a,Spin
8225,tt0365183,n/a,Falling Angels
8236,tt0273689,32.0,It's All About Love
8255,tt0327919,47.0,I Am David
8283,tt0364517,45.0,Love Me If You Dare
8290,tt0339827,39.0,Twist
9245,tt0242888,n/a,The Sleeping Dictionary
9298,tt0282667,n/a,Kung Phooey
9310,tt0285727,41.0,"Milwaukee, Minnesota"
9318,tt0289889,n/a,Carolina
9324,tt0294594,n/a,The Gathering
9329,tt0298482,n/a,Nothing
9332,tt0300902,n/a,Absolon
