,imdb_id,imdb_metascore,title
707,tt0333373,n/a,Two Friends
4616,tt0219400,28.0,Waking Up in Reno
4644,tt0246464,47.0,Big Trouble
4895,tt0273923,48.0,Orange County
4917,tt0240468,14.0,Kung Pow: Enter the Fist
4918,tt0281373,29.0,Snow Dogs
4934,tt0245844,61.0,The Count of Monte Cristo
4935,tt0265349,52.0,The Mothman Prophecies
4936,tt0281358,35.0,A Walk to Remember
4949,tt0240900,12.0,Slackers
4961,tt0265298,36.0,Big Fat Liar
4962,tt0233469,33.0,Collateral Damage
4963,tt0246894,14.0,Rollerball
4975,tt0275022,27.0,Crossroads
4976,tt0251114,49.0,Hart's War
4977,tt0251160,30.0,John Q
4978,tt0280030,49.0,Return to Never Land
4996,tt0259288,25.0,Dragonfly
4997,tt0238546,30.0,Queen of the Damned
5000,tt0207524,40.0,How to Kill Your Neighbor's Dog
5002,tt0184719,65.0,Maryam
5007,tt0301893,9.0,State Property
5020,tt0243736,53.0,40 Days and 40 Nights
5021,tt0277434,65.0,We Were Soldiers
5039,tt0278295,34.0,All About the Benjamins
5040,tt0268695,42.0,The Time Machine
5041,tt0290212,45.0,Full Frontal
5084,tt0268380,60.0,Ice Age
5085,tt0120804,33.0,Resident Evil
5086,tt0284490,32.0,Showtime
5120,tt0187738,52.0,Blade II
5121,tt0279781,25.0,Sorority Boys
5122,tt0286162,36.0,Stolen Summer
5130,tt0157472,40.0,Clockstoppers
5131,tt0266452,38.0,Death to Smoochy
5132,tt0258000,65.0,Panic Room
5133,tt0265662,72.0,The Rookie
5136,tt0250282,32.0,Teddy Bears' Picnic
5148,tt0257756,48.0,High Crimes
5149,tt0283111,26.0,National Lampoon’s Van Wilder
5159,tt0264472,69.0,Changing Lanes
5161,tt0191074,13.0,New Best Friend
5162,tt0253867,32.0,The Sweetest Thing
5165,tt0259446,62.0,My Big Fat Greek Wedding
5178,tt0264935,50.0,Murder by Numbers
5179,tt0277296,45.0,The Scorpion King
5181,tt0226935,34.0,Chelsea Walls
5184,tt0271582,38.0,Joshua
5188,tt0262911,39.0,World Traveler
5190,tt0282687,31.0,Life or Something Like It
5192,tt0281865,n/a,"Frank McKlusky, C.I."
5195,tt0235737,41.0,Salton Sea
5213,tt0231448,16.0,Deuces Wild
5214,tt0278823,46.0,Hollywood Ending
5215,tt0145487,73.0,Spider-Man
5229,tt0241760,24.0,The New Guy
5230,tt0250797,63.0,Unfaithful
5243,tt0276751,75.0,About a Boy
5244,tt0121765,54.0,Star Wars: Episode II - Attack of the Clones
5246,tt0278500,60.0,The Importance of Being Earnest
5253,tt0278435,25.0,Enough
5254,tt0278504,78.0,Insomnia
5255,tt0166813,52.0,Spirit: Stallion of the Cimarron
5266,tt0164184,45.0,The Sum of All Fears
5267,tt0279493,69.0,Undercover Brother
5268,tt0295480,55.0,The Diaries of Vaslav Nijinsky
5280,tt0280486,37.0,Bad Company
5281,tt0279778,48.0,Divine Secrets of the Ya-Ya Sisterhood
5282,tt0298798,51.0,Cherish
5283,tt0285441,91.0,Atanarjuat: The Fast Runner
5284,tt0258463,68.0,The Bourne Identity
5285,tt0267913,35.0,Scooby-Doo
5286,tt0245562,51.0,Windtalkers
5287,tt0238924,69.0,The Dangerous Lives of Altar Boys
5309,tt0247444,24.0,Juwanna Mann
5310,tt0275847,73.0,Lilo & Stitch
5311,tt0181689,80.0,Minority Report
5312,tt0252444,80.0,Rabbit-Proof Fence
5313,tt0286179,69.0,Sunshine State
5314,tt0314166,47.0,Hey Arnold! The Movie
5315,tt0280590,24.0,Mr. Deeds
5317,tt0265591,46.0,Pumpkin
5324,tt0308506,47.0,Like Mike
5325,tt0120912,49.0,Men in Black II
5326,tt0289408,65.0,The Powerpuff Girls Movie
5328,tt0305396,50.0,The Crocodile Hunter: Collision Course
5329,tt0253556,39.0,Reign of Fire
5330,tt0257044,72.0,Road to Perdition
5333,tt0244094,30.0,Never Again
5342,tt0220506,19.0,Halloween: Resurrection
