,imdb_id,imdb_metascore,title
2114,tt2140519,n/a,The Farmer's Wife
2564,tt1736049,68.0,A Place at the Table
2778,tt2378428,n/a,Romance
17202,tt1202339,n/a,20 Seconds of Joy
17818,tt0848228,69.0,The Avengers
18215,tt1787797,73.0,Sing Your Song
18239,tt1764651,51.0,The Expendables 2
18244,tt1392170,68.0,The Hunger Games
18252,tt1345836,78.0,The Dark Knight Rises
18255,tt1194173,61.0,The Bourne Legacy
18338,tt1560985,18.0,The Devil Inside
18341,tt1524137,51.0,Contraband
18352,tt1710396,44.0,Joyful Noise
18374,tt1568337,35.0,Loosies
18382,tt1496025,39.0,Underworld: Awakening
18383,tt1601913,64.0,The Grey
18384,tt1568338,40.0,Man on a Ledge
18387,tt1788461,70.0,The Pruitt-Igoe Myth
18456,tt0485985,46.0,Red Tails
18467,tt1598828,22.0,One for the Money
18477,tt1430615,61.0,Big Miracle
18499,tt1706593,69.0,Chronicle
18500,tt1596365,62.0,The Woman in Black
18524,tt1599348,52.0,Safe House
18525,tt1606389,43.0,The Vow
18549,tt1996264,55.0,"For a Good Time, Call..."
18554,tt1397514,41.0,Journey 2: The Mysterious Island
18566,tt1855401,40.0,Tim and Eric's Billion Dollar Movie
18579,tt1863406,n/a,The City Dark
18623,tt1925446,n/a,Once Upon a Time in the North
18659,tt1817191,n/a,Another Woman's Life
18663,tt1838544,36.0,Gone
18667,tt1636826,48.0,Project X
18668,tt1482459,46.0,The Lorax
18674,tt1591479,40.0,Act of Valor
18678,tt1596350,31.0,This Means War
18685,tt0401729,51.0,John Carter
18686,tt1433817,n/a,Canned Dreams
18703,tt1456635,64.0,Goon
18719,tt1848902,n/a,Game Change
18723,tt1232829,69.0,21 Jump Street
18735,tt1592525,48.0,Lockout
18758,tt1702425,52.0,Casa De Mi Padre
18766,tt1667307,67.0,Damsels in Distress
18776,tt2140371,n/a,Saving Face
18778,tt1810697,n/a,Meeting Evil
18779,tt1646987,37.0,Wrath of the Titans
18780,tt1715320,n/a,Bending The Rules
18782,tt1620933,n/a,Paan Singh Tomar
18789,tt1034314,n/a,Iron Sky
18793,tt1605630,49.0,American Reunion
18796,tt1259521,72.0,The Cabin in the Woods
18814,tt1980986,n/a,Housefull 2
18815,tt1395025,n/a,Agent Vinod
18828,tt0383010,56.0,The Three Stooges
18829,tt1486192,44.0,The Raven
18832,tt1667353,46.0,Mirror Mirror
18833,tt1440129,41.0,Battleship
18878,tt1195478,62.0,The Five-Year Engagement
18894,tt1621045,51.0,Think Like a Man
18895,tt1327194,39.0,The Lucky One
18906,tt1656190,55.0,Safe
18921,tt1735839,n/a,Any Questions for Ben?
18924,tt1077368,55.0,Dark Shadows
18930,tt1465533,n/a,Columbus Circle
18947,tt2317337,n/a,Vicky Donor
18953,tt1645170,58.0,The Dictator
18961,tt1990352,72.0,The Island President
18972,tt1409024,58.0,Men in Black 3
18973,tt1735898,57.0,Snow White and the Huntsman
18985,tt1991245,n/a,Chernobyl Diaries
18990,tt1430626,73.0,The Pirates! In an Adventure with Scientists!
18991,tt2027265,n/a,A Better Life
18992,tt0423455,n/a,Hemingway & Gellhorn
18995,tt1446714,64.0,Prometheus
18996,tt2040560,54.0,The Pact
18999,tt1704573,75.0,Bernie
19013,tt1655460,53.0,Wanderlust
19016,tt1748122,84.0,Moonrise Kingdom
19019,tt1821480,n/a,Kahaani
19020,tt2224455,n/a,Superman vs. The Elite
19024,tt1567609,60.0,Get the Gringo
19045,tt1480656,58.0,Cosmopolis
19047,tt0763831,26.0,A Thousand Words
19048,tt1222815,57.0,Chimpanzee
19050,tt1862079,72.0,Safety Not Guaranteed
19051,tt1277953,60.0,Madagascar 3: Europe's Most Wanted
19071,tt1217209,69.0,Brave
19078,tt1440732,42.0,Bel Ami
19079,tt1586265,41.0,What to Expect When You're Expecting
19080,tt1859650,54.0,To Rome with Love
19082,tt1611224,42.0,Abraham Lincoln: Vampire Hunter
19094,tt1566501,35.0,For Greater Glory - The True Story of Cristiada
19099,tt1336608,47.0,Rock of Ages
19100,tt1307068,59.0,Seeking a Friend for the End of the World
19109,tt1637725,62.0,Ted
19110,tt1769363,43.0,The Giant Mechanical Man
19112,tt1915581,72.0,Magic Mike
19121,tt0337692,56.0,On the Road
19123,tt1829041,n/a,Joffrey: Mavericks of American Dance
19128,tt1598873,n/a,Cleanskin
19129,tt0948470,66.0,The Amazing Spider-Man
19139,tt1667889,49.0,Ice Age: Continental Drift
19140,tt2125435,86.0,Beasts of the Southern Wild
19144,tt1716777,49.0,People Like Us
19151,tt1615065,59.0,Savages
19153,tt2082410,n/a,Rat King
19161,tt1854364,n/a,The Union
19172,tt2215285,42.0,Madea's Witness Protection
19179,tt1820723,n/a,Treasure Island
19180,tt1298649,36.0,The Watch
19186,tt1602472,61.0,2 Days in New York
19207,tt0455323,53.0,Being Flynn
19217,tt1839492,67.0,Ruby Sparks
19218,tt1386703,43.0,Total Recall
19226,tt1924394,66.0,The Angels' Share
19247,tt1919090,n/a,Stash House
19248,tt1881024,n/a,One in the Chamber
19255,tt2043931,74.0,Neil Young Journeys
19257,tt1735862,n/a,Dragon Eyes
19261,tt1074638,81.0,Skyfall
19268,tt1790886,50.0,The Campaign
19269,tt1941668,n/a,Taistelu Näsilinnasta 1918
19270,tt1990181,38.0,Brake
19271,tt1535438,65.0,Hope Springs
19276,tt2125666,80.0,The Queen of Versailles
19298,tt1954299,n/a,I Am Bruce Lee
19302,tt2164862,79.0,Wagner's Dream
19307,tt1623288,72.0,ParaNorman
19308,tt2023453,54.0,Diary of a Wimpy Kid: Dog Days
19318,tt1577052,38.0,Goats
19319,tt1405365,59.0,Celeste & Jesse Forever
19321,tt1660302,79.0,Our Children
19323,tt2097307,50.0,Hit & Run
