,imdb_id,imdb_metascore,title
12815,tt0409459,56.0,Watchmen
13059,tt0898367,64.0,The Road
13174,tt0374569,64.0,Che: Part Two
13297,tt0901476,24.0,Bride Wars
13300,tt1179891,51.0,My Bloody Valentine
13307,tt1072437,n/a,Fuel
13317,tt0834001,44.0,Underworld: Rise of the Lycans
13334,tt1114740,39.0,Paul Blart: Mall Cop
13335,tt0472198,60.0,Notorious
13336,tt1139668,30.0,The Unborn
13343,tt0815245,43.0,The Uninvited
13348,tt1020055,n/a,Night Train
13367,tt1053859,n/a,The Grudge 3
13371,tt0327597,80.0,Coraline
13378,tt0465580,36.0,Push
13379,tt0963178,52.0,The International
13381,tt1001508,47.0,He's Just Not That Into You
13383,tt1079444,n/a,Dead Like Me: Life After Death
13393,tt1054487,n/a,Futurama: Into the Wild Green Yonder
13395,tt0785006,51.0,Hotel for Dogs
13402,tt1265998,n/a,Afro Samurai: Resurrection
13411,tt1019454,n/a,Taking Chance
13416,tt1133995,n/a,The Way of War
13418,tt1320355,n/a,Ralliraita
13420,tt1201167,60.0,Funny People
13422,tt1194271,n/a,Against the Dark
13428,tt1103256,n/a,Red Sands
13430,tt0831916,n/a,The Lost
13431,tt1116186,n/a,Still Waiting...
13436,tt1237838,42.0,Mystery Team
13441,tt0891592,17.0,Street Fighter: The Legend of Chun-Li
13444,tt1142800,50.0,Madea Goes to Jail
13446,tt1176740,58.0,Away We Go
13449,tt1112782,n/a,Thick as Thieves
13457,tt0758746,34.0,Friday the 13th
13459,tt1214983,n/a,Screamers: The Hunting
13460,tt0838232,36.0,The Pink Panther 2
13464,tt1200060,n/a,The English Surgeon
13492,tt1155056,70.0,"I Love You, Man"
13499,tt0492044,33.0,The Haunting in Connecticut
13501,tt1135487,69.0,Duplicity
13502,tt0448011,41.0,Knowing
13503,tt0990413,82.0,Sugar
13507,tt1132620,76.0,The Girl with the Dragon Tattoo
13519,tt1124039,26.0,Echelon Conspiracy
13523,tt1385824,n/a,13B: Fear Has a New Address
13524,tt0892782,56.0,Monsters vs Aliens
13538,tt0498329,69.0,We Live in Public
13546,tt1197628,54.0,Observe and Report
13550,tt1091722,76.0,Adventureland
13554,tt1093908,38.0,Confessions of a Shopaholic
13556,tt1234541,n/a,The Butterfly Effect 3: Revelations
13566,tt1098327,45.0,Dragonball Evolution
13581,tt1013752,46.0,Fast & Furious
13590,tt1226774,83.0,In the Loop
