,imdb_id,imdb_metascore,title
9510,tt0405296,73.0,A Scanner Darkly
10703,tt0456554,33.0,Grandma's Boy
10704,tt0375154,49.0,Tristan & Isolde
10705,tt0385726,58.0,Glory Road
10706,tt0408985,52.0,Last Holiday
10709,tt0401855,36.0,Underworld: Evolution
10728,tt0407621,52.0,The Ordeal
10747,tt0390245,n/a,Matti: Hell Is for Heroes
10750,tt0416496,n/a,Bandidas
10760,tt0417433,37.0,Annapolis
10761,tt0421729,34.0,Big Momma's House 2
10765,tt0411267,n/a,The Dark
10776,tt0414982,41.0,Final Destination 3
10778,tt0437777,64.0,Something New
10793,tt0383216,38.0,The Pink Panther
10796,tt0381971,62.0,Curious George
10797,tt0408345,45.0,Firewall
10802,tt0455857,27.0,When a Stranger Calls
10805,tt0473692,85.0,Neil Young: Heart of Gold
10806,tt0349467,43.0,Freedomland
10807,tt0380817,56.0,Winter Passing
10808,tt0397313,64.0,Eight Below
10809,tt0466342,11.0,Date Movie
10810,tt0404390,41.0,Running Scared
10811,tt0455612,45.0,Madea's Family Reunion
10812,tt0763304,23.0,Doogal
10813,tt0370032,18.0,Ultraviolet
10814,tt0397078,29.0,Just My Luck
10815,tt0454919,27.0,Pulse
10816,tt0424942,78.0,Deep Sea 3D
10817,tt0450232,63.0,16 Blocks
10822,tt0412798,n/a,Half Light
10824,tt0427229,47.0,Failure to Launch
10825,tt0491703,n/a,Ultimate Avengers
10826,tt0438097,58.0,Ice Age: The Meltdown
10837,tt0477072,n/a,The Prince & Me 2: The Royal Wedding
10838,tt0384814,58.0,Ask the Dust
10839,tt0434409,62.0,V for Vendetta
10840,tt0454945,45.0,She's the Man
10842,tt0419749,65.0,Find Me Guilty
10843,tt0454848,76.0,Inside Man
10845,tt0429591,51.0,Aquamarine
10854,tt0458242,57.0,Lights in the Dusk
10857,tt0454841,52.0,The Hills Have Eyes
10858,tt0393735,43.0,The Shaggy Dog
10863,tt0405094,89.0,The Lives of Others
10874,tt0446046,55.0,Take the Lead
10880,tt0429727,n/a,The Caiman
10881,tt0425210,53.0,Lucky Number Slevin
10885,tt0441909,84.0,Volver
10886,tt0417003,n/a,The N Word
10887,tt0437800,72.0,Akeelah and the Bee
10891,tt0462395,21.0,Larry the Cable Guy: Health Inspector
10892,tt0441796,24.0,Stay Alive
10894,tt0430912,26.0,Basic Instinct 2
10898,tt0383353,n/a,Evil Aliens
10901,tt0493459,75.0,This Film Is Not Yet Rated
10903,tt0466856,63.0,ATL
10905,tt0439815,69.0,Slither
10906,tt0437863,25.0,The Benchwarmers
10907,tt0490196,36.0,Phat Girlz
10908,tt0386741,57.0,Renaissance
10912,tt0436331,68.0,Friends with Money
10920,tt0424880,57.0,Candy
10925,tt0453494,46.0,Hoot
10927,tt0362120,40.0,Scary Movie 4
10932,tt0420087,75.0,A Prairie Home Companion
10933,tt0404163,34.0,Even Money
10937,tt0443632,49.0,The Sentinel
10940,tt0405469,47.0,The Wild
10942,tt0384537,31.0,Silent Hill
10944,tt0465142,45.0,American Dreamz
10946,tt0448564,n/a,Irresistible
10952,tt0317919,66.0,Mission: Impossible III
10957,tt0449089,33.0,RV
10958,tt0475276,90.0,United 93
