,imdb_id,imdb_metascore,title
22325,tt2836166,n/a,Punk's Dead: SLC Punk 2
23634,tt2990756,75.0,Sound of Redemption: The Frank Morgan Story
25216,tt2429278,n/a,The Ghost and the Whale
26556,tt2638144,38.0,Ben-Hur
26557,tt0803096,32.0,Warcraft
26564,tt1431045,65.0,Deadpool
26567,tt3498820,75.0,Captain America: Civil War
26568,tt1211837,72.0,Doctor Strange
26569,tt3385516,52.0,X-Men: Apocalypse
27826,tt3513054,67.0,Last Days in the Desert
27861,tt3859304,44.0,The Bronze
28811,tt2649554,76.0,Midnight Special
29474,tt3369350,65.0,Bad Hurt
29537,tt3662066,57.0,One More Time
30400,tt3410834,33.0,Allegiant
30401,tt3183660,66.0,Fantastic Beasts and Where to Find Them
30499,tt2709768,61.0,The Secret Life of Pets
30540,tt3014866,36.0,Criminal
30543,tt1386697,40.0,Suicide Squad
30544,tt3416042,n/a,Aurora
30556,tt1628841,32.0,Independence Day: Resurgence
30557,tt2660888,68.0,Star Trek Beyond
30594,tt2364897,31.0,The Disappointments Room
31053,tt3563892,n/a,Silent Retreat
31072,tt2975590,44.0,Batman v Superman: Dawn of Justice
31390,tt3040964,77.0,The Jungle Book
31485,tt4172430,48.0,13 Hours: The Secret Soldiers of Benghazi
31486,tt2106651,n/a,Spectral
32013,tt2233170,n/a,Sand Castles
32033,tt4005402,33.0,Colonia
32182,tt4263482,83.0,The Witch
32190,tt4158624,47.0,3 Generations
32445,tt1227183,65.0,Swallows and Amazons
32731,tt3317208,55.0,Anesthesia
32801,tt4062536,79.0,Green Room
32908,tt2461520,27.0,Man Down
32951,tt1172049,49.0,Demolition
33012,tt2625810,59.0,Into the Forest
33047,tt4009278,39.0,Intruders
33360,tt4441150,44.0,Salt and Fire
33362,tt0490215,79.0,Silence
33533,tt0475290,72.0,"Hail, Caesar!"
33839,tt3277624,58.0,Creative Control
33849,tt4338434,n/a,A Month of Sundays
33993,tt4105970,n/a,They Look Like People
34344,tt3748440,n/a,Blue Mountain State: The Rise of Thadland
34372,tt4881032,n/a,On Football
34978,tt2304933,33.0,The 5th Wave
34998,tt3685622,n/a,600 Miles
35220,tt1608290,34.0,Zoolander 2
35249,tt1292566,51.0,How to Be Single
35328,tt4667094,28.0,Fifty Shades of Black
35338,tt5016028,63.0,Unlocking the Cage
35353,tt4550098,67.0,Nocturnal Animals
35359,tt4413794,n/a,Homeland (Iraq Year Zero)
35387,tt2267968,66.0,Kung Fu Panda 3
35455,tt4266638,86.0,Krisha
35474,tt3703908,36.0,Standoff
35581,tt1374989,45.0,Pride and Prejudice and Zombies
35674,tt5290524,n/a,Quo vado?
35696,tt2140037,49.0,Jane Got a Gun
35712,tt3387542,34.0,The Forest
35730,tt0315642,n/a,Wazir
35775,tt4076760,35.0,Diablo
35803,tt4048668,57.0,Band of Robbers
35822,tt3550078,n/a,Aimy in a Cage
35840,tt3951298,n/a,Army Dog
35854,tt3530978,n/a,The Correspondence
35856,tt1726252,n/a,The Dark Side of the Moon
35871,tt3311988,32.0,The Abandoned
35972,tt5278868,65.0,The Lovers and the Despot
35973,tt5275844,n/a,Michael Jackson's Journey from Motown to Off the Wall
35974,tt4144190,66.0,Wiener-Dog
35975,tt1594972,21.0,Norm of the North
35976,tt2869728,32.0,Ride Along 2
35977,tt3471098,76.0,Maggie's Plan
35978,tt4669210,n/a,Notias
35983,tt4870838,n/a,Batman: Bad Blood
36013,tt1083452,54.0,Eddie the Eagle
36014,tt4387040,n/a,Airlift
36015,tt4399594,n/a,Fitoor
36032,tt4019560,23.0,Exposed
36066,tt1663655,22.0,Martyrs
36072,tt5275828,76.0,Lo and Behold: Reveries of the Connected World
36073,tt3586930,n/a,Kill Kane
36078,tt4000936,n/a,Looking for Grace
36083,tt4940780,n/a,The Mine
36087,tt3882082,42.0,The Boy
36090,tt4552524,45.0,Jeruzalem
36104,tt3864024,42.0,Lazer Team
36110,tt3231054,51.0,Risen
36113,tt5278464,64.0,Holy Hell
36118,tt3882074,72.0,The Eagle Huntress
36121,tt3597510,n/a,The White Knights
36131,tt3702652,41.0,The Other Side of the Door
