,title,rated,genre,runtime,open_date,close_date,studio,director,writer,actors,plot,language,boxoffice,opening,gross,dvd,open_theaters,max_theaters,awards,imdb_id,imdb_rating,imdb_votes,imdb_metascore,rotten_tomato_meter
10,Despicable Me 3,PG,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",89.0,2017-06-30,2017-12-21,Universal Pictures,"Kyle Balda, Pierre Coffin, Eric Guillon(co-director)","Cinco Paul, Ken Daurio","Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove","Gru meets his long-lost charming, cheerful, and more successful twin brother Dru who wants to team up with him for one last criminal heist.",English,264194540.0,72434025.0,264624300.0,2017-12-05,4529.0,4535.0,25 nominations.,tt3469046,6.3,98465.0,49.0,0.58
11,Pirates of the Caribbean: Dead Men Tell No Tales,PG-13,"Action, Adventure, Fantasy",129.0,2017-05-26,2017-09-21,Walt Disney Studios Motion Pictures,"Joachim Rønning, Espen Sandberg","Jeff Nathanson (screenplay by), Jeff Nathanson (story by), Terry Rossio (story by), Ted Elliott (based on characters created by), Terry Rossio (based on characters created by), Stuart Beattie (based on characters created by), Jay Wolpert (based on characters created by)","Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites",Captain Jack Sparrow (Johnny Depp) searches for the trident of Poseidon while being pursued by an undead sea Captain and his crew.,"English, Spanish",172537139.0,62983253.0,172558876.0,2017-10-03,4276.0,4276.0,9 nominations.,tt1790809,6.6,235221.0,39.0,0.3
12,Kong: Skull Island,PG-13,"Action, Adventure, Fantasy, Sci-Fi",118.0,2017-03-10,2017-06-15,Warner Bros.,Jordan Vogt-Roberts,"Dan Gilroy (screenplay by), Max Borenstein (screenplay by), Derek Connolly (screenplay by), John Gatins (story by)","Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly","After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.","English, Vietnamese",167986460.0,61025472.0,168052812.0,2017-07-18,3846.0,3846.0,Nominated for 1 Oscar. Another 1 win & 15 nominations.,tt3731562,6.6,247689.0,62.0,0.75
13,War for the Planet of the Apes,PG-13,"Action, Adventure, Drama, Sci-Fi, Thriller",140.0,2017-07-14,2017-11-30,Twentieth Century Fox,Matt Reeves,"Mark Bomback, Matt Reeves, Rick Jaffa (based on characters created by), Amanda Silver (based on characters created by)","Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval","After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.","English, American Sign Language",146872826.0,56262929.0,146843711.0,2017-10-24,4022.0,4100.0,Nominated for 1 Oscar. Another 22 wins & 46 nominations.,tt3450958,7.4,208809.0,82.0,0.94
14,Cars 3,G,"Animation, Adventure, Comedy, Family, Sport",102.0,2017-06-16,2017-11-02,Walt Disney Studios Motion Pictures,Brian Fee,"Brian Fee (original story by), Ben Queen (original story by), Eyal Podell (original story by), Jonathon E. Stewart (original story by), Kiel Murray (screenplay by), Bob Peterson (screenplay by), Mike Rich (screenplay by), Scott Morse (additional story material)","Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion",Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,English,152603003.0,53688680.0,152901115.0,2017-11-07,4256.0,4256.0,20 nominations.,tt3606752,6.7,63508.0,59.0,0.69
15,The Lego Batman Movie,PG,"Animation, Action, Comedy, Family",104.0,2017-02-10,2017-06-08,Warner Bros.,Chris McKay,"Seth Grahame-Smith (screenplay by), Chris McKenna (screenplay by), Erik Sommers (screenplay by), Jared Stern (screenplay by), John Whittington (screenplay by), Seth Grahame-Smith (story by), Bob Kane (Batman created by), Bill Finger (Batman created by), Jerry Siegel (Superman created by), Joe Shuster (Superman created by), William Moulton Marston (Wonder Woman created by), Ole Kirk Christiansen (based on LEGO Construction Toys created by), Godtfred Kirk Christiansen (based on LEGO Construction Toys created by), Jens Nygaard Knudsen (based on LEGO Construction Toys created by)","Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes","A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",English,175686290.0,53003468.0,175750384.0,2017-06-13,4088.0,4088.0,11 wins & 58 nominations.,tt4116284,7.3,120655.0,75.0,0.89
16,Coco,PG,"Animation, Adventure, Family, Fantasy, Music, Mystery",105.0,2017-11-22,2017-04-26,Walt Disney Studios Motion Pictures,"Lee Unkrich, Adrian Molina(co-director)","Lee Unkrich (original story by), Jason Katz (original story by), Matthew Aldrich (original story by), Adrian Molina (original story by), Adrian Molina (screenplay by), Matthew Aldrich (screenplay by)","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","English, Spanish",208487719.0,50802605.0,209726015.0,2018-02-27,3987.0,3987.0,Won 2 Oscars. Another 86 wins & 28 nominations.,tt2380307,8.4,303592.0,81.0,0.97
17,Dunkirk,PG-13,"Action, Drama, History, Thriller, War",106.0,2017-07-21,2017-11-23,Warner Bros.,Christopher Nolan,Christopher Nolan,"Fionn Whitehead, Damien Bonnard, Aneurin Barnard, Lee Armstrong","Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.","English, French, German",188042171.0,50513488.0,188045546.0,2017-12-19,3720.0,4014.0,Won 3 Oscars. Another 51 wins & 197 nominations.,tt5013056,7.9,486426.0,94.0,0.93
18,The Boss Baby,PG,"Animation, Adventure, Comedy, Family, Fantasy",97.0,2017-03-31,2017-11-02,Twentieth Century Fox,Tom McGrath,"Michael McCullers, Marla Frazee (based on the book by)","Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow","A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.","English, Spanish",174996080.0,50198902.0,175003033.0,2017-07-25,3773.0,3829.0,Nominated for 1 Oscar. Another 1 win & 19 nominations.,tt3874544,6.3,97604.0,50.0,0.52
19,Fifty Shades Darker,R,"Drama, Romance",118.0,2017-02-10,2017-04-06,Universal Pictures,James Foley,"Niall Leonard (screenplay by), E.L. James (based on the novel by)","Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford","While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",English,114376885.0,46607250.0,114434010.0,2017-05-09,3710.0,3714.0,3 wins & 12 nominations.,tt4465564,4.6,84157.0,33.0,0.11
